SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612737,ATL,Atlanta Hawks,0041500204,2016-05-08,ATL vs. CLE,L,239,99,40,83,0.482,9,31,0.29,10,14,0.714,9,33,42,22,10.0,7,12,16,-1.0
42015,1610612737,ATL,Atlanta Hawks,0041500203,2016-05-06,ATL vs. CLE,L,239,108,41,84,0.488,16,34,0.471,10,12,0.833,6,22,28,29,8.0,7,14,21,-13.0
42015,1610612737,ATL,Atlanta Hawks,0041500202,2016-05-04,ATL @ CLE,L,241,98,30,71,0.423,11,27,0.407,27,30,0.9,8,32,40,18,3.0,3,16,23,-25.0
42015,1610612737,ATL,Atlanta Hawks,0041500201,2016-05-02,ATL @ CLE,L,242,93,33,87,0.379,11,34,0.324,16,21,0.762,15,33,48,21,6.0,7,12,22,-11.0
42015,1610612737,ATL,Atlanta Hawks,0041500136,2016-04-28,ATL @ BOS,W,241,104,38,74,0.514,8,24,0.333,20,27,0.741,3,39,42,26,6.0,12,18,23,12.0
42015,1610612737,ATL,Atlanta Hawks,0041500135,2016-04-26,ATL vs. BOS,W,242,110,42,96,0.438,14,35,0.4,12,16,0.75,13,38,51,30,13.0,3,12,17,27.0
42015,1610612737,ATL,Atlanta Hawks,0041500134,2016-04-24,ATL @ BOS,L,264,95,37,99,0.374,12,42,0.286,9,13,0.692,12,37,49,18,8.0,6,14,20,-9.0
42015,1610612737,ATL,Atlanta Hawks,0041500133,2016-04-22,ATL @ BOS,L,240,103,38,86,0.442,9,36,0.25,18,21,0.857,7,34,41,19,10.0,7,13,24,-8.0
42015,1610612737,ATL,Atlanta Hawks,0041500132,2016-04-19,ATL vs. BOS,W,240,89,32,82,0.39,11,29,0.379,14,16,0.875,3,46,49,20,7.0,15,15,16,17.0
42015,1610612737,ATL,Atlanta Hawks,0041500131,2016-04-16,ATL vs. BOS,W,238,102,35,86,0.407,5,26,0.192,27,35,0.771,13,40,53,23,4.0,9,11,20,1.0
22015,1610612737,ATL,Atlanta Hawks,0021501221,2016-04-13,ATL @ WAS,L,240,98,32,81,0.395,11,30,0.367,23,31,0.742,9,38,47,22,13.0,5,22,21,-11.0
22015,1610612737,ATL,Atlanta Hawks,0021501203,2016-04-11,ATL @ CLE,L,240,94,39,87,0.448,8,30,0.267,8,15,0.533,10,32,42,23,8.0,6,15,18,-15.0
22015,1610612737,ATL,Atlanta Hawks,0021501188,2016-04-09,ATL vs. BOS,W,240,118,46,88,0.523,17,33,0.515,9,11,0.818,5,39,44,31,10.0,10,17,22,11.0
22015,1610612737,ATL,Atlanta Hawks,0021501173,2016-04-07,ATL vs. TOR,W,239,95,33,76,0.434,12,32,0.375,17,21,0.81,5,36,41,23,4.0,12,13,19,8.0
22015,1610612737,ATL,Atlanta Hawks,0021501157,2016-04-05,ATL vs. PHX,W,242,103,39,95,0.411,11,34,0.324,14,19,0.737,13,37,50,26,16.0,3,16,21,13.0
22015,1610612737,ATL,Atlanta Hawks,0021501131,2016-04-01,ATL vs. CLE,L,264,108,38,95,0.4,9,30,0.3,23,26,0.885,5,43,48,25,5.0,8,15,27,-2.0
22015,1610612737,ATL,Atlanta Hawks,0021501113,2016-03-30,ATL @ TOR,L,240,97,37,83,0.446,14,33,0.424,9,13,0.692,11,33,44,24,3.0,7,18,19,-8.0
22015,1610612737,ATL,Atlanta Hawks,0021501099,2016-03-28,ATL @ CHI,W,238,102,36,85,0.424,5,22,0.227,25,28,0.893,7,41,48,22,4.0,13,8,13,2.0
22015,1610612737,ATL,Atlanta Hawks,0021501085,2016-03-26,ATL @ DET,W,240,112,43,95,0.453,13,34,0.382,13,14,0.929,5,34,39,34,6.0,7,4,21,17.0
22015,1610612737,ATL,Atlanta Hawks,0021501076,2016-03-25,ATL vs. MIL,W,240,101,41,97,0.423,5,32,0.156,14,17,0.824,17,28,45,26,10.0,6,11,21,11.0
22015,1610612737,ATL,Atlanta Hawks,0021501056,2016-03-23,ATL @ WAS,W,239,122,45,84,0.536,17,42,0.405,15,22,0.682,7,34,41,32,10.0,5,16,17,21.0
22015,1610612737,ATL,Atlanta Hawks,0021501048,2016-03-21,ATL vs. WAS,L,239,102,38,78,0.487,13,33,0.394,13,17,0.765,2,31,33,23,5.0,6,14,15,-15.0
22015,1610612737,ATL,Atlanta Hawks,0021501029,2016-03-19,ATL vs. HOU,W,239,109,44,88,0.5,14,38,0.368,7,12,0.583,9,31,40,32,12.0,6,16,20,12.0
22015,1610612737,ATL,Atlanta Hawks,0021501015,2016-03-17,ATL vs. DEN,W,241,116,40,80,0.5,12,26,0.462,24,28,0.857,7,33,40,32,5.0,8,12,16,18.0
22015,1610612737,ATL,Atlanta Hawks,0021501007,2016-03-16,ATL @ DET,W,239,118,39,89,0.438,12,34,0.353,28,34,0.824,8,38,46,25,10.0,3,12,26,4.0
22015,1610612737,ATL,Atlanta Hawks,0021500984,2016-03-13,ATL vs. IND,W,240,104,40,85,0.471,15,30,0.5,9,10,0.9,9,41,50,27,11.0,6,15,13,29.0
22015,1610612737,ATL,Atlanta Hawks,0021500974,2016-03-12,ATL vs. MEM,W,239,95,36,84,0.429,11,34,0.324,12,17,0.706,8,39,47,27,9.0,12,11,14,12.0
22015,1610612737,ATL,Atlanta Hawks,0021500959,2016-03-10,ATL @ TOR,L,239,96,35,82,0.427,7,23,0.304,19,27,0.704,6,27,33,17,8.0,5,11,24,-8.0
22015,1610612737,ATL,Atlanta Hawks,0021500947,2016-03-08,ATL @ UTA,W,240,91,38,80,0.475,8,25,0.32,7,14,0.5,4,37,41,15,9.0,4,16,19,7.0
22015,1610612737,ATL,Atlanta Hawks,0021500929,2016-03-05,ATL @ LAC,W,241,107,40,89,0.449,10,27,0.37,17,20,0.85,10,43,53,26,9.0,3,18,26,10.0
22015,1610612737,ATL,Atlanta Hawks,0021500921,2016-03-04,ATL @ LAL,W,239,106,37,68,0.544,13,28,0.464,19,26,0.731,3,36,39,31,6.0,8,10,18,29.0
22015,1610612737,ATL,Atlanta Hawks,0021500895,2016-03-01,ATL @ GSW,L,264,105,37,80,0.463,12,33,0.364,19,24,0.792,7,35,42,25,9.0,5,17,17,-4.0
22015,1610612737,ATL,Atlanta Hawks,0021500878,2016-02-28,ATL vs. CHA,W,240,87,38,77,0.494,8,17,0.471,3,5,0.6,6,42,48,29,4.0,5,15,19,11.0
22015,1610612737,ATL,Atlanta Hawks,0021500865,2016-02-26,ATL vs. CHI,W,240,103,37,89,0.416,7,34,0.206,22,24,0.917,13,35,48,28,14.0,11,11,21,15.0
22015,1610612737,ATL,Atlanta Hawks,0021500836,2016-02-22,ATL vs. GSW,L,240,92,36,86,0.419,10,34,0.294,10,16,0.625,8,39,47,23,7.0,7,17,17,-10.0
22015,1610612737,ATL,Atlanta Hawks,0021500819,2016-02-20,ATL vs. MIL,L,289,109,44,106,0.415,9,41,0.22,12,18,0.667,10,39,49,31,11.0,8,16,27,-8.0
22015,1610612737,ATL,Atlanta Hawks,0021500808,2016-02-19,ATL vs. MIA,L,240,111,41,87,0.471,16,36,0.444,13,13,1.0,8,34,42,27,7.0,4,21,23,-4.0
22015,1610612737,ATL,Atlanta Hawks,0021500796,2016-02-10,ATL @ CHI,W,240,113,43,90,0.478,13,33,0.394,14,15,0.933,11,35,46,25,16.0,7,12,14,23.0
22015,1610612737,ATL,Atlanta Hawks,0021500780,2016-02-08,ATL vs. ORL,L,265,110,43,92,0.467,12,29,0.414,12,20,0.6,8,39,47,31,9.0,4,14,20,-7.0
22015,1610612737,ATL,Atlanta Hawks,0021500771,2016-02-07,ATL @ ORL,L,240,94,35,91,0.385,13,28,0.464,11,15,0.733,18,32,50,22,7.0,7,16,13,-2.0
22015,1610612737,ATL,Atlanta Hawks,0021500750,2016-02-05,ATL vs. IND,W,240,102,39,76,0.513,10,27,0.37,14,20,0.7,3,29,32,29,10.0,5,15,16,6.0
22015,1610612737,ATL,Atlanta Hawks,0021500736,2016-02-03,ATL @ PHI,W,239,124,48,92,0.522,10,20,0.5,18,25,0.72,11,41,52,28,13.0,7,18,12,38.0
22015,1610612737,ATL,Atlanta Hawks,0021500723,2016-02-01,ATL vs. DAL,W,240,112,42,80,0.525,14,35,0.4,14,19,0.737,5,45,50,29,2.0,6,15,25,15.0
22015,1610612737,ATL,Atlanta Hawks,0021500715,2016-01-31,ATL @ MIA,L,240,87,27,70,0.386,5,22,0.227,28,32,0.875,2,29,31,13,10.0,3,17,23,-18.0
22015,1610612737,ATL,Atlanta Hawks,0021500692,2016-01-28,ATL @ IND,L,239,92,33,83,0.398,7,28,0.25,19,21,0.905,5,27,32,20,9.0,4,14,22,-19.0
