SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612738,BOS,Boston Celtics,0041500136,2016-04-28,BOS vs. ATL,L,241,92,34,94,0.362,7,32,0.219,17,18,0.944,10,33,43,16,5,4,12,29,-12.0
42015,1610612738,BOS,Boston Celtics,0041500135,2016-04-26,BOS @ ATL,L,242,83,29,77,0.377,7,29,0.241,18,25,0.72,10,34,44,19,5,6,20,17,-27.0
42015,1610612738,BOS,Boston Celtics,0041500134,2016-04-24,BOS vs. ATL,W,266,104,40,94,0.426,11,33,0.333,13,19,0.684,12,40,52,25,7,7,14,19,9.0
42015,1610612738,BOS,Boston Celtics,0041500133,2016-04-22,BOS vs. ATL,W,240,111,38,82,0.463,11,32,0.344,24,33,0.727,7,37,44,23,10,6,15,20,8.0
42015,1610612738,BOS,Boston Celtics,0041500132,2016-04-19,BOS @ ATL,L,239,72,28,88,0.318,5,28,0.179,11,12,0.917,10,33,43,16,5,10,14,15,-17.0
42015,1610612738,BOS,Boston Celtics,0041500131,2016-04-16,BOS @ ATL,L,239,101,37,102,0.363,11,35,0.314,16,19,0.842,15,35,50,27,6,6,10,32,-1.0
22015,1610612738,BOS,Boston Celtics,0021501217,2016-04-13,BOS vs. MIA,W,240,98,37,86,0.43,5,14,0.357,19,22,0.864,10,29,39,20,7,3,7,20,10.0
22015,1610612738,BOS,Boston Celtics,0021501205,2016-04-11,BOS vs. CHA,L,240,100,34,89,0.382,8,24,0.333,24,29,0.828,13,33,46,17,6,1,12,17,-14.0
22015,1610612738,BOS,Boston Celtics,0021501188,2016-04-09,BOS @ ATL,L,241,107,40,90,0.444,11,28,0.393,16,24,0.667,10,30,40,26,10,6,15,21,-11.0
22015,1610612738,BOS,Boston Celtics,0021501181,2016-04-08,BOS vs. MIL,W,239,124,44,78,0.564,6,14,0.429,30,38,0.789,4,30,34,35,6,9,14,23,15.0
22015,1610612738,BOS,Boston Celtics,0021501168,2016-04-06,BOS vs. NOP,W,240,104,36,87,0.414,10,34,0.294,22,27,0.815,8,33,41,24,10,7,9,20,7.0
22015,1610612738,BOS,Boston Celtics,0021501153,2016-04-03,BOS @ LAL,W,240,107,41,91,0.451,8,30,0.267,17,22,0.773,9,41,50,30,8,1,12,25,7.0
22015,1610612738,BOS,Boston Celtics,0021501136,2016-04-01,BOS @ GSW,W,240,109,41,87,0.471,8,23,0.348,19,30,0.633,11,33,44,28,10,1,14,14,3.0
22015,1610612738,BOS,Boston Celtics,0021501127,2016-03-31,BOS @ POR,L,240,109,37,88,0.42,9,24,0.375,26,34,0.765,16,32,48,20,12,6,15,25,-7.0
22015,1610612738,BOS,Boston Celtics,0021501106,2016-03-28,BOS @ LAC,L,240,90,31,89,0.348,7,19,0.368,21,27,0.778,18,31,49,14,7,4,16,17,-24.0
22015,1610612738,BOS,Boston Celtics,0021501090,2016-03-26,BOS @ PHX,W,240,102,35,84,0.417,8,29,0.276,24,27,0.889,17,32,49,14,7,3,19,23,3.0
22015,1610612738,BOS,Boston Celtics,0021501057,2016-03-23,BOS vs. TOR,W,240,91,35,80,0.438,8,20,0.4,13,21,0.619,7,41,48,24,5,5,8,18,12.0
22015,1610612738,BOS,Boston Celtics,0021501046,2016-03-21,BOS vs. ORL,W,239,107,40,85,0.471,7,22,0.318,20,24,0.833,9,37,46,22,8,6,14,16,11.0
22015,1610612738,BOS,Boston Celtics,0021501039,2016-03-20,BOS @ PHI,W,239,120,46,94,0.489,10,25,0.4,18,21,0.857,14,39,53,28,8,3,13,24,15.0
22015,1610612738,BOS,Boston Celtics,0021501023,2016-03-18,BOS @ TOR,L,242,91,36,82,0.439,9,21,0.429,10,12,0.833,7,30,37,18,8,3,15,18,-14.0
22015,1610612738,BOS,Boston Celtics,0021501003,2016-03-16,BOS vs. OKC,L,241,109,40,93,0.43,5,19,0.263,24,27,0.889,16,26,42,17,4,4,11,22,-21.0
22015,1610612738,BOS,Boston Celtics,0021500997,2016-03-15,BOS @ IND,L,241,98,36,94,0.383,8,31,0.258,18,22,0.818,17,33,50,23,6,3,13,21,-5.0
22015,1610612738,BOS,Boston Celtics,0021500965,2016-03-11,BOS vs. HOU,L,240,98,34,91,0.374,8,31,0.258,22,28,0.786,14,31,45,24,14,3,14,17,-4.0
22015,1610612738,BOS,Boston Celtics,0021500953,2016-03-09,BOS vs. MEM,W,241,116,41,87,0.471,15,32,0.469,19,24,0.792,7,31,38,26,9,7,13,27,20.0
22015,1610612738,BOS,Boston Celtics,0021500922,2016-03-05,BOS @ CLE,L,239,103,37,80,0.463,10,23,0.435,19,27,0.704,10,27,37,17,8,1,14,22,-17.0
22015,1610612738,BOS,Boston Celtics,0021500915,2016-03-04,BOS vs. NYK,W,240,105,41,90,0.456,4,20,0.2,19,25,0.76,13,38,51,20,8,2,8,14,1.0
22015,1610612738,BOS,Boston Celtics,0021500899,2016-03-02,BOS vs. POR,W,241,116,43,107,0.402,7,26,0.269,23,24,0.958,19,38,57,20,9,8,5,16,23.0
22015,1610612738,BOS,Boston Celtics,0021500886,2016-02-29,BOS vs. UTA,W,239,100,37,84,0.44,6,18,0.333,20,29,0.69,11,36,47,27,6,13,9,18,5.0
22015,1610612738,BOS,Boston Celtics,0021500869,2016-02-27,BOS vs. MIA,W,240,101,39,96,0.406,5,16,0.313,18,22,0.818,12,36,48,26,12,6,11,19,12.0
22015,1610612738,BOS,Boston Celtics,0021500856,2016-02-25,BOS vs. MIL,W,240,112,41,84,0.488,5,23,0.217,25,33,0.758,9,33,42,21,9,3,16,21,5.0
22015,1610612738,BOS,Boston Celtics,0021500838,2016-02-22,BOS @ MIN,L,240,122,49,101,0.485,10,28,0.357,14,17,0.824,10,28,38,33,13,2,11,27,-2.0
22015,1610612738,BOS,Boston Celtics,0021500825,2016-02-21,BOS @ DEN,W,241,121,47,97,0.485,10,32,0.313,17,20,0.85,15,33,48,32,11,2,17,25,20.0
22015,1610612738,BOS,Boston Celtics,0021500817,2016-02-19,BOS @ UTA,L,240,93,30,81,0.37,7,25,0.28,26,36,0.722,8,26,34,18,8,3,7,31,-18.0
