SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612766,CHA,Charlotte Hornets,0041500127,2016-05-01,CHA @ MIA,L,240,73,27,84,0.321,7,22,0.318,12,12,1.0,3,33,36,14,4,1,7,14,-33.0
42015,1610612766,CHA,Charlotte Hornets,0041500126,2016-04-29,CHA vs. MIA,L,241,90,32,76,0.421,5,17,0.294,21,25,0.84,5,26,31,12,8,5,9,17,-7.0
42015,1610612766,CHA,Charlotte Hornets,0041500125,2016-04-27,CHA @ MIA,W,240,90,33,84,0.393,12,24,0.5,12,15,0.8,5,36,41,21,8,3,12,14,2.0
42015,1610612766,CHA,Charlotte Hornets,0041500124,2016-04-25,CHA vs. MIA,W,241,89,30,75,0.4,4,16,0.25,25,30,0.833,6,30,36,10,7,7,9,20,4.0
42015,1610612766,CHA,Charlotte Hornets,0041500123,2016-04-23,CHA vs. MIA,W,239,96,35,90,0.389,5,18,0.278,21,22,0.955,9,38,47,18,5,4,3,24,16.0
42015,1610612766,CHA,Charlotte Hornets,0041500122,2016-04-20,CHA @ MIA,L,240,103,38,89,0.427,1,16,0.063,26,33,0.788,15,24,39,9,3,1,7,16,-12.0
42015,1610612766,CHA,Charlotte Hornets,0041500121,2016-04-17,CHA @ MIA,L,239,91,28,65,0.431,6,17,0.353,29,37,0.784,7,21,28,11,5,2,11,17,-32.0
22015,1610612766,CHA,Charlotte Hornets,0021501219,2016-04-13,CHA vs. ORL,W,240,117,47,86,0.547,11,29,0.379,12,19,0.632,5,41,46,32,6,5,9,14,14.0
22015,1610612766,CHA,Charlotte Hornets,0021501205,2016-04-11,CHA @ BOS,W,240,114,41,81,0.506,14,32,0.438,18,22,0.818,7,37,44,23,10,7,14,20,14.0
22015,1610612766,CHA,Charlotte Hornets,0021501194,2016-04-10,CHA @ WAS,L,241,98,28,81,0.346,12,33,0.364,30,35,0.857,9,37,46,21,7,2,15,25,-15.0
22015,1610612766,CHA,Charlotte Hornets,0021501178,2016-04-08,CHA vs. BKN,W,239,113,41,83,0.494,14,37,0.378,17,20,0.85,10,32,42,26,11,12,12,17,14.0
22015,1610612766,CHA,Charlotte Hornets,0021501169,2016-04-06,CHA @ NYK,W,240,111,42,90,0.467,12,26,0.462,15,17,0.882,11,27,38,19,9,3,8,14,14.0
22015,1610612766,CHA,Charlotte Hornets,0021501156,2016-04-05,CHA @ TOR,L,239,90,32,88,0.364,11,35,0.314,15,21,0.714,11,32,43,20,5,6,6,22,-6.0
22015,1610612766,CHA,Charlotte Hornets,0021501144,2016-04-03,CHA @ CLE,L,240,103,34,76,0.447,9,26,0.346,26,27,0.963,11,24,35,23,15,4,15,13,-9.0
22015,1610612766,CHA,Charlotte Hornets,0021501128,2016-04-01,CHA vs. PHI,W,240,100,36,84,0.429,7,27,0.259,21,27,0.778,8,47,55,23,9,6,11,14,9.0
22015,1610612766,CHA,Charlotte Hornets,0021501109,2016-03-29,CHA @ PHI,W,240,100,38,87,0.437,7,25,0.28,17,18,0.944,9,55,64,26,6,6,15,7,15.0
22015,1610612766,CHA,Charlotte Hornets,0021501089,2016-03-26,CHA @ MIL,W,241,115,41,74,0.554,16,29,0.552,17,21,0.81,5,30,35,30,6,8,8,11,24.0
22015,1610612766,CHA,Charlotte Hornets,0021501074,2016-03-25,CHA @ DET,L,241,105,37,93,0.398,14,30,0.467,17,22,0.773,7,35,42,24,8,2,7,21,-7.0
