SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22015,1610612741,CHI,Chicago Bulls,0021501222,2016-04-13,CHI vs. PHI,W,240,115,39,83,0.47,15,24.0,0.625,22,27,0.815,16.0,37.0,53.0,27,8.0,8.0,17.0,13,10.0
22015,1610612741,CHI,Chicago Bulls,0021501208,2016-04-11,CHI @ NOP,W,239,121,44,77,0.571,10,23.0,0.435,23,26,0.885,5.0,30.0,35.0,29,5.0,3.0,9.0,20,5.0
22015,1610612741,CHI,Chicago Bulls,0021501191,2016-04-09,CHI vs. CLE,W,240,105,40,89,0.449,8,24.0,0.333,17,21,0.81,13.0,32.0,45.0,19,8.0,6.0,12.0,22,3.0
22015,1610612741,CHI,Chicago Bulls,0021501174,2016-04-07,CHI @ MIA,L,240,98,35,78,0.449,3,14.0,0.214,25,28,0.893,12.0,29.0,41.0,18,6.0,7.0,12.0,12,-8.0
22015,1610612741,CHI,Chicago Bulls,0021501158,2016-04-05,CHI @ MEM,L,239,92,34,77,0.442,11,29.0,0.379,13,19,0.684,13.0,29.0,42.0,22,6.0,11.0,20.0,20,-16.0
22015,1610612741,CHI,Chicago Bulls,0021501150,2016-04-03,CHI @ MIL,W,240,102,39,74,0.527,7,26.0,0.269,17,22,0.773,6.0,28.0,34.0,30,10.0,4.0,11.0,16,4.0
22015,1610612741,CHI,Chicago Bulls,0021501139,2016-04-02,CHI vs. DET,L,241,90,34,88,0.386,9,25.0,0.36,13,15,0.867,11.0,36.0,47.0,21,6.0,10.0,11.0,25,-4.0
22015,1610612741,CHI,Chicago Bulls,0021501124,2016-03-31,CHI @ HOU,W,240,103,37,77,0.481,11,24.0,0.458,18,22,0.818,5.0,37.0,42.0,28,5.0,4.0,15.0,20,3.0
22015,1610612741,CHI,Chicago Bulls,0021501107,2016-03-29,CHI @ IND,W,242,98,37,87,0.425,10,26.0,0.385,14,16,0.875,12.0,29.0,41.0,22,5.0,6.0,15.0,19,2.0
22015,1610612741,CHI,Chicago Bulls,0021501099,2016-03-28,CHI vs. ATL,L,240,100,40,106,0.377,9,22.0,0.409,11,15,0.733,18.0,40.0,58.0,22,4.0,5.0,7.0,17,-2.0
