SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19,CLE @ GSW,W,241,93,33,82,0.402,6,25,0.24,21,25,0.84,9.0,39.0,48.0,17,7.0,6.0,11.0,15,4.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500406,2016-06-16,CLE vs. GSW,W,240,115,40,77,0.519,10,27,0.37,25,32,0.781,8.0,37.0,45.0,24,12.0,7.0,10.0,25,14.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500405,2016-06-13,CLE @ GSW,W,241,112,44,83,0.53,10,24,0.417,14,23,0.609,8.0,33.0,41.0,15,11.0,9.0,16.0,22,15.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500404,2016-06-10,CLE vs. GSW,L,241,97,38,81,0.469,6,25,0.24,15,26,0.577,16.0,24.0,40.0,15,5.0,6.0,11.0,24,-11.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500403,2016-06-08,CLE vs. GSW,W,242,120,48,91,0.527,12,25,0.48,12,17,0.706,17.0,35.0,52.0,23,8.0,3.0,13.0,25,30.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500402,2016-06-05,CLE @ GSW,L,241,77,28,79,0.354,5,23,0.217,16,24,0.667,9.0,25.0,34.0,15,15.0,3.0,17.0,19,-33.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500401,2016-06-02,CLE @ GSW,L,238,89,32,84,0.381,7,21,0.333,18,20,0.9,15.0,32.0,47.0,17,7.0,4.0,15.0,17,-15.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500306,2016-05-27,CLE @ TOR,W,240,113,40,74,0.541,17,31,0.548,16,21,0.762,4.0,34.0,38.0,22,6.0,6.0,10.0,18,26.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500305,2016-05-25,CLE vs. TOR,W,239,116,44,77,0.571,10,21,0.476,18,24,0.75,10.0,38.0,48.0,23,11.0,6.0,16.0,26,38.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500304,2016-05-23,CLE @ TOR,L,240,99,39,83,0.47,13,41,0.317,8,9,0.889,10.0,28.0,38.0,23,5.0,2.0,10.0,17,-6.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500303,2016-05-21,CLE @ TOR,L,241,84,28,79,0.354,14,41,0.341,14,16,0.875,8.0,32.0,40.0,15,7.0,5.0,9.0,10,-15.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500302,2016-05-19,CLE vs. TOR,W,239,108,38,76,0.5,7,21,0.333,25,37,0.676,7.0,39.0,46.0,24,5.0,2.0,9.0,16,19.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500301,2016-05-17,CLE vs. TOR,W,239,115,41,74,0.554,7,20,0.35,26,33,0.788,10.0,35.0,45.0,22,9.0,4.0,16.0,20,31.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500204,2016-05-08,CLE @ ATL,W,239,100,38,88,0.432,16,37,0.432,8,13,0.615,14.0,27.0,41.0,23,6.0,7.0,15.0,14,1.0
42015,1610612739,CLE,Cleveland Cavaliers,0041500203,2016-05-06,CLE @ ATL,W,241,121,42,85,0.494,21,39,0.538,16,27,0.593,18.0,37.0,55.0,26,9.0,1.0,18.0,21,13.0
