SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612742,DAL,Dallas Mavericks,0041500165,2016-04-25,DAL @ OKC,L,240,104,38,81,0.469,8,24,0.333,20,24,0.833,13,22,35,24,5,3,9,24,-14.0
42015,1610612742,DAL,Dallas Mavericks,0041500164,2016-04-23,DAL vs. OKC,L,241,108,43,83,0.518,8,23,0.348,14,17,0.824,7,26,33,25,3,2,11,27,-11.0
42015,1610612742,DAL,Dallas Mavericks,0041500163,2016-04-21,DAL vs. OKC,L,239,102,36,76,0.474,6,23,0.261,24,35,0.686,6,23,29,24,9,3,12,27,-29.0
42015,1610612742,DAL,Dallas Mavericks,0041500162,2016-04-18,DAL @ OKC,W,240,85,35,82,0.427,5,19,0.263,10,19,0.526,11,34,45,14,8,4,12,17,1.0
42015,1610612742,DAL,Dallas Mavericks,0041500161,2016-04-16,DAL @ OKC,L,238,70,25,84,0.298,4,18,0.222,16,26,0.615,9,24,33,16,5,0,12,25,-38.0
22015,1610612742,DAL,Dallas Mavericks,0021501223,2016-04-13,DAL vs. SAS,L,240,91,31,77,0.403,12,39,0.308,17,21,0.81,11,30,41,20,8,2,12,23,-5.0
22015,1610612742,DAL,Dallas Mavericks,0021501210,2016-04-11,DAL @ UTA,W,239,101,36,81,0.444,11,32,0.344,18,22,0.818,10,37,47,19,7,2,9,15,9.0
22015,1610612742,DAL,Dallas Mavericks,0021501196,2016-04-10,DAL @ LAC,L,242,91,30,74,0.405,8,30,0.267,23,33,0.697,5,42,47,18,6,5,14,29,-7.0
22015,1610612742,DAL,Dallas Mavericks,0021501185,2016-04-08,DAL vs. MEM,W,240,103,30,60,0.5,12,31,0.387,31,39,0.795,6,32,38,18,7,6,17,17,10.0
22015,1610612742,DAL,Dallas Mavericks,0021501170,2016-04-06,DAL vs. HOU,W,240,88,33,80,0.413,10,33,0.303,12,14,0.857,13,27,40,19,9,4,12,20,2.0
22015,1610612742,DAL,Dallas Mavericks,0021501146,2016-04-03,DAL @ MIN,W,240,88,32,83,0.386,14,40,0.35,10,17,0.588,15,29,44,19,6,4,10,17,10.0
22015,1610612742,DAL,Dallas Mavericks,0021501129,2016-04-01,DAL @ DET,W,240,98,39,85,0.459,8,24,0.333,12,14,0.857,8,40,48,18,4,5,10,18,9.0
22015,1610612742,DAL,Dallas Mavericks,0021501117,2016-03-30,DAL vs. NYK,W,240,91,35,85,0.412,8,25,0.32,13,17,0.765,14,28,42,18,7,1,15,15,2.0
22015,1610612742,DAL,Dallas Mavericks,0021501103,2016-03-28,DAL @ DEN,W,241,97,36,88,0.409,11,32,0.344,14,15,0.933,9,25,34,23,14,6,3,20,9.0
22015,1610612742,DAL,Dallas Mavericks,0021501095,2016-03-27,DAL @ SAC,L,239,111,42,88,0.477,8,24,0.333,19,24,0.792,12,29,41,22,6,2,13,24,-22.0
22015,1610612742,DAL,Dallas Mavericks,0021501080,2016-03-25,DAL @ GSW,L,241,120,43,96,0.448,18,35,0.514,16,21,0.762,15,36,51,31,3,6,11,19,-8.0
22015,1610612742,DAL,Dallas Mavericks,0021501067,2016-03-23,DAL @ POR,L,238,103,42,96,0.438,9,30,0.3,10,11,0.909,11,36,47,21,8,6,17,17,-6.0
22015,1610612742,DAL,Dallas Mavericks,0021501037,2016-03-20,DAL vs. POR,W,266,132,49,89,0.551,15,25,0.6,19,23,0.826,8,42,50,31,7,8,16,21,12.0
22015,1610612742,DAL,Dallas Mavericks,0021501026,2016-03-18,DAL vs. GSW,L,238,112,41,93,0.441,9,29,0.31,21,22,0.955,11,35,46,25,4,8,12,15,-18.0
22015,1610612742,DAL,Dallas Mavericks,0021501005,2016-03-16,DAL @ CLE,L,240,98,37,79,0.468,7,22,0.318,17,19,0.895,4,28,32,24,6,7,10,18,-1.0
22015,1610612742,DAL,Dallas Mavericks,0021500988,2016-03-14,DAL @ CHA,W,240,107,42,87,0.483,9,30,0.3,14,18,0.778,6,36,42,30,9,6,14,26,11.0
22015,1610612742,DAL,Dallas Mavericks,0021500973,2016-03-12,DAL vs. IND,L,239,105,41,85,0.482,8,22,0.364,15,18,0.833,7,33,40,30,7,1,13,21,-7.0
22015,1610612742,DAL,Dallas Mavericks,0021500954,2016-03-09,DAL vs. DET,L,239,96,39,86,0.453,9,30,0.3,9,11,0.818,7,33,40,25,6,2,8,19,-6.0
