SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22015,1610612743,DEN,Denver Nuggets,0021501230,2016-04-13,DEN @ POR,L,240,99,40,94,0.426,7,25,0.28,12,18,0.667,20,33,53,24,10,6,20,19,-8.0
22015,1610612743,DEN,Denver Nuggets,0021501198,2016-04-10,DEN vs. UTA,L,241,84,32,80,0.4,6,27,0.222,14,19,0.737,6,35,41,18,6,7,11,19,-16.0
22015,1610612743,DEN,Denver Nuggets,0021501186,2016-04-08,DEN vs. SAS,W,241,102,40,86,0.465,6,22,0.273,16,19,0.842,8,39,47,21,9,7,11,23,4.0
22015,1610612743,DEN,Denver Nuggets,0021501160,2016-04-05,DEN vs. OKC,L,241,102,37,88,0.42,10,30,0.333,18,27,0.667,10,28,38,28,9,4,13,19,-22.0
22015,1610612743,DEN,Denver Nuggets,0021501141,2016-04-02,DEN vs. SAC,L,239,106,40,92,0.435,9,29,0.31,17,24,0.708,15,35,50,27,3,10,10,22,-9.0
22015,1610612743,DEN,Denver Nuggets,0021501125,2016-03-31,DEN @ NOP,L,241,95,36,83,0.434,10,27,0.37,13,17,0.765,8,32,40,28,10,7,13,15,-6.0
22015,1610612743,DEN,Denver Nuggets,0021501114,2016-03-30,DEN @ MEM,W,240,109,38,78,0.487,13,29,0.448,20,24,0.833,11,31,42,24,4,7,14,29,4.0
22015,1610612743,DEN,Denver Nuggets,0021501103,2016-03-28,DEN vs. DAL,L,241,88,31,70,0.443,9,24,0.375,17,19,0.895,6,38,44,20,3,4,21,20,-9.0
22015,1610612743,DEN,Denver Nuggets,0021501092,2016-03-27,DEN @ LAC,L,240,90,37,94,0.394,7,29,0.241,9,13,0.692,20,24,44,24,7,5,15,19,-15.0
22015,1610612743,DEN,Denver Nuggets,0021501081,2016-03-25,DEN @ LAL,W,241,116,45,94,0.479,10,26,0.385,16,24,0.667,13,35,48,31,5,7,9,22,11.0
22015,1610612743,DEN,Denver Nuggets,0021501064,2016-03-23,DEN vs. PHI,W,240,104,33,76,0.434,6,17,0.353,32,40,0.8,7,39,46,18,7,9,16,19,1.0
22015,1610612743,DEN,Denver Nuggets,0021501044,2016-03-21,DEN @ CLE,L,241,91,32,81,0.395,8,22,0.364,19,25,0.76,10,25,35,19,10,4,16,16,-33.0
