SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19,GSW vs. CLE,L,239,89,32,83,0.386,15,41.0,0.366,10,13,0.769,7.0,32.0,39.0,22,7.0,5,10.0,23,-4.0
42015,1610612744,GSW,Golden State Warriors,0041500406,2016-06-16,GSW @ CLE,L,238,101,33,82,0.402,15,39.0,0.385,20,29,0.69,9.0,26.0,35.0,19,5.0,3,14.0,25,-14.0
42015,1610612744,GSW,Golden State Warriors,0041500405,2016-06-13,GSW vs. CLE,L,242,97,32,88,0.364,14,43.0,0.326,19,26,0.731,13.0,30.0,43.0,18,6.0,9,17.0,21,-15.0
42015,1610612744,GSW,Golden State Warriors,0041500404,2016-06-10,GSW @ CLE,W,239,108,33,81,0.407,17,36.0,0.472,25,31,0.806,14.0,29.0,43.0,23,7.0,6,8.0,22,11.0
42015,1610612744,GSW,Golden State Warriors,0041500403,2016-06-08,GSW @ CLE,L,241,90,32,76,0.421,9,33.0,0.273,17,26,0.654,8.0,24.0,32.0,21,5.0,4,18.0,23,-30.0
42015,1610612744,GSW,Golden State Warriors,0041500402,2016-06-05,GSW vs. CLE,W,241,110,44,81,0.543,15,33.0,0.455,7,10,0.7,12.0,34.0,46.0,26,7.0,9,20.0,20,33.0
42015,1610612744,GSW,Golden State Warriors,0041500401,2016-06-02,GSW vs. CLE,W,239,104,43,87,0.494,9,27.0,0.333,9,10,0.9,9.0,32.0,41.0,29,9.0,4,9.0,16,15.0
42015,1610612744,GSW,Golden State Warriors,0041500317,2016-05-30,GSW vs. OKC,W,239,96,37,85,0.435,17,37.0,0.459,5,8,0.625,10.0,36.0,46.0,20,4.0,4,11.0,16,8.0
42015,1610612744,GSW,Golden State Warriors,0041500316,2016-05-28,GSW @ OKC,W,241,108,36,88,0.409,21,45.0,0.467,15,24,0.625,13.0,31.0,44.0,23,11.0,4,14.0,25,7.0
42015,1610612744,GSW,Golden State Warriors,0041500315,2016-05-26,GSW vs. OKC,W,239,120,40,85,0.471,9,24.0,0.375,31,34,0.912,11.0,34.0,45.0,25,13.0,7,15.0,18,9.0
42015,1610612744,GSW,Golden State Warriors,0041500314,2016-05-24,GSW @ OKC,L,239,94,33,80,0.413,9,30.0,0.3,19,29,0.655,8.0,32.0,40.0,15,11.0,4,21.0,26,-24.0
42015,1610612744,GSW,Golden State Warriors,0041500313,2016-05-22,GSW @ OKC,L,240,105,38,92,0.413,10,32.0,0.313,19,25,0.76,10.0,28.0,38.0,19,9.0,1,13.0,21,-28.0
42015,1610612744,GSW,Golden State Warriors,0041500312,2016-05-18,GSW vs. OKC,W,241,118,43,85,0.506,13,28.0,0.464,19,28,0.679,15.0,30.0,45.0,26,9.0,3,12.0,21,27.0
42015,1610612744,GSW,Golden State Warriors,0041500311,2016-05-16,GSW vs. OKC,L,242,102,40,91,0.44,11,30.0,0.367,11,17,0.647,8.0,36.0,44.0,26,8.0,4,14.0,22,-6.0
42015,1610612744,GSW,Golden State Warriors,0041500225,2016-05-11,GSW vs. POR,W,240,125,43,84,0.512,14,32.0,0.438,25,29,0.862,9.0,35.0,44.0,28,5.0,4,16.0,25,4.0
42015,1610612744,GSW,Golden State Warriors,0041500224,2016-05-09,GSW @ POR,W,265,132,44,95,0.463,17,40.0,0.425,27,33,0.818,10.0,39.0,49.0,22,13.0,10,14.0,27,7.0
42015,1610612744,GSW,Golden State Warriors,0041500223,2016-05-07,GSW @ POR,L,239,108,42,88,0.477,14,29.0,0.483,10,17,0.588,11.0,31.0,42.0,29,4.0,6,12.0,20,-12.0
42015,1610612744,GSW,Golden State Warriors,0041500222,2016-05-03,GSW vs. POR,W,240,110,42,91,0.462,8,24.0,0.333,18,20,0.9,10.0,38.0,48.0,21,4.0,9,10.0,23,11.0
42015,1610612744,GSW,Golden State Warriors,0041500221,2016-05-01,GSW vs. POR,W,240,118,43,91,0.473,11,31.0,0.355,21,24,0.875,16.0,39.0,55.0,27,8.0,8,12.0,22,12.0
42015,1610612744,GSW,Golden State Warriors,0041500145,2016-04-27,GSW vs. HOU,W,239,114,45,82,0.549,13,31.0,0.419,11,19,0.579,6.0,34.0,40.0,30,10.0,6,9.0,16,33.0
42015,1610612744,GSW,Golden State Warriors,0041500144,2016-04-24,GSW @ HOU,W,243,121,46,89,0.517,21,40.0,0.525,8,16,0.5,7.0,36.0,43.0,38,10.0,2,16.0,26,27.0
42015,1610612744,GSW,Golden State Warriors,0041500143,2016-04-21,GSW @ HOU,L,240,96,34,79,0.43,6,25.0,0.24,22,29,0.759,8.0,35.0,43.0,23,6.0,6,14.0,23,-1.0
42015,1610612744,GSW,Golden State Warriors,0041500142,2016-04-18,GSW vs. HOU,W,241,115,40,81,0.494,8,23.0,0.348,27,38,0.711,13.0,26.0,39.0,27,10.0,6,12.0,24,9.0
42015,1610612744,GSW,Golden State Warriors,0041500141,2016-04-16,GSW vs. HOU,W,241,104,39,91,0.429,10,25.0,0.4,16,24,0.667,15.0,38.0,53.0,26,10.0,7,15.0,22,26.0
22015,1610612744,GSW,Golden State Warriors,0021501227,2016-04-13,GSW vs. MEM,W,240,125,46,87,0.529,20,47.0,0.426,13,16,0.813,12.0,39.0,51.0,35,7.0,7,17.0,14,21.0
22015,1610612744,GSW,Golden State Warriors,0021501201,2016-04-10,GSW @ SAS,W,238,92,34,77,0.442,10,27.0,0.37,14,18,0.778,7.0,39.0,46.0,19,7.0,6,13.0,18,6.0
22015,1610612744,GSW,Golden State Warriors,0021501190,2016-04-09,GSW @ MEM,W,239,100,39,87,0.448,10,36.0,0.278,12,13,0.923,7.0,41.0,48.0,20,3.0,7,11.0,14,1.0
22015,1610612744,GSW,Golden State Warriors,0021501177,2016-04-07,GSW vs. SAS,W,241,112,45,83,0.542,12,25.0,0.48,10,11,0.909,7.0,36.0,43.0,33,8.0,2,15.0,22,11.0
22015,1610612744,GSW,Golden State Warriors,0021501163,2016-04-05,GSW vs. MIN,L,266,117,49,98,0.5,12,35.0,0.343,7,8,0.875,9.0,37.0,46.0,35,9.0,5,23.0,29,-7.0
22015,1610612744,GSW,Golden State Warriors,0021501152,2016-04-03,GSW vs. POR,W,239,136,50,88,0.568,18,30.0,0.6,18,22,0.818,11.0,32.0,43.0,30,5.0,8,12.0,23,25.0
22015,1610612744,GSW,Golden State Warriors,0021501136,2016-04-01,GSW vs. BOS,L,239,106,38,83,0.458,20,43.0,0.465,10,13,0.769,8.0,33.0,41.0,25,12.0,7,22.0,24,-3.0
22015,1610612744,GSW,Golden State Warriors,0021501119,2016-03-30,GSW @ UTA,W,264,103,39,89,0.438,12,35.0,0.343,13,18,0.722,9.0,37.0,46.0,19,6.0,6,18.0,21,7.0
22015,1610612744,GSW,Golden State Warriors,0021501112,2016-03-29,GSW vs. WAS,W,240,102,38,87,0.437,11,25.0,0.44,15,23,0.652,7.0,48.0,55.0,27,11.0,6,16.0,23,8.0
22015,1610612744,GSW,Golden State Warriors,0021501094,2016-03-27,GSW vs. PHI,W,239,117,44,83,0.53,14,33.0,0.424,15,20,0.75,7.0,37.0,44.0,32,9.0,4,18.0,15,12.0
22015,1610612744,GSW,Golden State Warriors,0021501080,2016-03-25,GSW vs. DAL,W,239,128,43,88,0.489,21,45.0,0.467,21,23,0.913,7.0,33.0,40.0,30,8.0,10,7.0,16,8.0
22015,1610612744,GSW,Golden State Warriors,0021501066,2016-03-23,GSW vs. LAC,W,238,114,39,87,0.448,15,34.0,0.441,21,28,0.75,11.0,39.0,50.0,23,9.0,5,12.0,20,16.0
22015,1610612744,GSW,Golden State Warriors,0021501050,2016-03-21,GSW @ MIN,W,239,109,43,87,0.494,8,24.0,0.333,15,24,0.625,13.0,31.0,44.0,31,13.0,10,16.0,20,5.0
22015,1610612744,GSW,Golden State Warriors,0021501036,2016-03-19,GSW @ SAS,L,240,79,31,82,0.378,9,36.0,0.25,8,10,0.8,7.0,30.0,37.0,24,12.0,3,10.0,21,-8.0
22015,1610612744,GSW,Golden State Warriors,0021501026,2016-03-18,GSW @ DAL,W,240,130,48,95,0.505,22,38.0,0.579,12,14,0.857,5.0,37.0,42.0,35,8.0,7,12.0,21,18.0
22015,1610612744,GSW,Golden State Warriors,0021501011,2016-03-16,GSW vs. NYK,W,241,121,46,91,0.505,18,37.0,0.486,11,12,0.917,12.0,42.0,54.0,32,4.0,8,12.0,13,36.0
22015,1610612744,GSW,Golden State Warriors,0021500996,2016-03-14,GSW vs. NOP,W,238,125,47,81,0.58,12,25.0,0.48,19,23,0.826,8.0,38.0,46.0,30,6.0,6,18.0,22,18.0
