SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612746,LAC,LA Clippers,0041500176,2016-04-29,LAC @ POR,L,240,103,39,87,0.448,4,16.0,0.25,21,31,0.677,16.0,30.0,46.0,15,8.0,1.0,8.0,24,-3.0
42015,1610612746,LAC,LA Clippers,0041500175,2016-04-27,LAC vs. POR,L,241,98,36,86,0.419,6,20.0,0.3,20,30,0.667,8.0,37.0,45.0,20,8.0,3.0,10.0,24,-10.0
42015,1610612746,LAC,LA Clippers,0041500174,2016-04-25,LAC @ POR,L,242,84,30,84,0.357,7,25.0,0.28,17,28,0.607,10.0,32.0,42.0,16,10.0,4.0,9.0,17,-14.0
42015,1610612746,LAC,LA Clippers,0041500173,2016-04-23,LAC @ POR,L,242,88,36,88,0.409,3,18.0,0.167,13,23,0.565,11.0,33.0,44.0,15,11.0,4.0,10.0,17,-8.0
42015,1610612746,LAC,LA Clippers,0041500172,2016-04-20,LAC vs. POR,W,239,102,40,87,0.46,8,21.0,0.381,14,25,0.56,12.0,40.0,52.0,20,7.0,9.0,9.0,18,21.0
42015,1610612746,LAC,LA Clippers,0041500171,2016-04-17,LAC vs. POR,W,240,115,42,78,0.538,6,17.0,0.353,25,39,0.641,11.0,37.0,48.0,23,7.0,7.0,9.0,23,20.0
22015,1610612746,LAC,LA Clippers,0021501229,2016-04-13,LAC @ PHX,L,241,105,43,96,0.448,9,31.0,0.29,10,12,0.833,6.0,34.0,40.0,23,9.0,6.0,15.0,20,-9.0
22015,1610612746,LAC,LA Clippers,0021501216,2016-04-12,LAC vs. MEM,W,239,110,41,75,0.547,12,25.0,0.48,16,21,0.762,8.0,33.0,41.0,29,11.0,7.0,9.0,19,26.0
22015,1610612746,LAC,LA Clippers,0021501196,2016-04-10,LAC vs. DAL,W,240,98,37,76,0.487,9,18.0,0.5,15,37,0.405,6.0,36.0,42.0,25,11.0,6.0,10.0,20,7.0
22015,1610612746,LAC,LA Clippers,0021501187,2016-04-08,LAC @ UTA,W,266,102,37,83,0.446,13,29.0,0.448,15,19,0.789,8.0,36.0,44.0,16,13.0,3.0,11.0,20,3.0
