SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22015,1610612747,LAL,Los Angeles Lakers,0021501228,2016-04-13,LAL vs. UTA,W,239,101,41,85,0.482,6,25,0.24,13,15,0.867,8.0,39.0,47.0,19,6.0,3.0,13.0,17,5.0
22015,1610612747,LAL,Los Angeles Lakers,0021501209,2016-04-11,LAL @ OKC,L,240,79,23,81,0.284,7,31,0.226,26,30,0.867,10.0,38.0,48.0,15,8.0,1.0,15.0,20,-33.0
22015,1610612747,LAL,Los Angeles Lakers,0021501195,2016-04-10,LAL @ HOU,L,239,110,41,83,0.494,12,28,0.429,16,19,0.842,7.0,33.0,40.0,25,10.0,3.0,18.0,15,-20.0
22015,1610612747,LAL,Los Angeles Lakers,0021501184,2016-04-08,LAL @ NOP,L,240,102,34,81,0.42,11,24,0.458,23,27,0.852,10.0,24.0,34.0,18,9.0,5.0,13.0,23,-8.0
22015,1610612747,LAL,Los Angeles Lakers,0021501172,2016-04-06,LAL vs. LAC,L,241,81,32,90,0.356,4,19,0.211,13,17,0.765,16.0,33.0,49.0,12,6.0,1.0,12.0,16,-10.0
22015,1610612747,LAL,Los Angeles Lakers,0021501164,2016-04-05,LAL @ LAC,L,240,81,26,83,0.313,6,20,0.3,23,25,0.92,14.0,29.0,43.0,11,10.0,3.0,15.0,23,-22.0
22015,1610612747,LAL,Los Angeles Lakers,0021501153,2016-04-03,LAL vs. BOS,L,241,100,37,90,0.411,6,21,0.286,20,29,0.69,11.0,36.0,47.0,22,6.0,4.0,11.0,17,-7.0
22015,1610612747,LAL,Los Angeles Lakers,0021501121,2016-03-30,LAL vs. MIA,W,265,102,37,102,0.363,6,20,0.3,22,29,0.759,19.0,30.0,49.0,14,9.0,5.0,9.0,21,2.0
22015,1610612747,LAL,Los Angeles Lakers,0021501104,2016-03-28,LAL @ UTA,L,241,75,26,85,0.306,7,20,0.35,16,22,0.727,7.0,30.0,37.0,11,5.0,6.0,9.0,19,-48.0
22015,1610612747,LAL,Los Angeles Lakers,0021501096,2016-03-27,LAL vs. WAS,L,240,88,33,87,0.379,7,28,0.25,15,17,0.882,12.0,30.0,42.0,15,12.0,0.0,18.0,26,-13.0
22015,1610612747,LAL,Los Angeles Lakers,0021501081,2016-03-25,LAL vs. DEN,L,241,105,37,85,0.435,10,23,0.435,21,26,0.808,7.0,36.0,43.0,23,6.0,3.0,11.0,19,-11.0
22015,1610612747,LAL,Los Angeles Lakers,0021501065,2016-03-23,LAL @ PHX,L,240,107,39,93,0.419,7,27,0.259,22,26,0.846,14.0,27.0,41.0,13,6.0,6.0,10.0,24,-12.0
22015,1610612747,LAL,Los Angeles Lakers,0021501055,2016-03-22,LAL vs. MEM,W,239,107,39,77,0.506,6,19,0.316,23,24,0.958,11.0,29.0,40.0,21,10.0,4.0,20.0,23,7.0
22015,1610612747,LAL,Los Angeles Lakers,0021501027,2016-03-18,LAL vs. PHX,L,240,90,31,86,0.36,6,23,0.261,22,26,0.846,12.0,38.0,50.0,21,4.0,6.0,12.0,21,-5.0
22015,1610612747,LAL,Los Angeles Lakers,0021501002,2016-03-15,LAL vs. SAC,L,239,98,37,84,0.44,5,26,0.192,19,26,0.731,10.0,39.0,49.0,20,10.0,5.0,22.0,23,-8.0
22015,1610612747,LAL,Los Angeles Lakers,0021500987,2016-03-13,LAL vs. NYK,L,240,87,34,85,0.4,3,16,0.188,16,21,0.762,10.0,35.0,45.0,14,6.0,2.0,9.0,20,-3.0
22015,1610612747,LAL,Los Angeles Lakers,0021500962,2016-03-10,LAL vs. CLE,L,239,108,42,80,0.525,7,22,0.318,17,21,0.81,4.0,30.0,34.0,18,8.0,4.0,10.0,22,-12.0
22015,1610612747,LAL,Los Angeles Lakers,0021500949,2016-03-08,LAL vs. ORL,W,238,107,40,81,0.494,9,27,0.333,18,23,0.783,10.0,35.0,45.0,21,7.0,2.0,15.0,22,9.0
22015,1610612747,LAL,Los Angeles Lakers,0021500931,2016-03-06,LAL vs. GSW,W,239,112,41,87,0.471,9,25,0.36,21,22,0.955,9.0,32.0,41.0,23,12.0,6.0,11.0,24,17.0
22015,1610612747,LAL,Los Angeles Lakers,0021500921,2016-03-04,LAL vs. ATL,L,239,77,29,85,0.341,5,27,0.185,14,20,0.7,17.0,29.0,46.0,19,5.0,1.0,10.0,16,-29.0
22015,1610612747,LAL,Los Angeles Lakers,0021500906,2016-03-02,LAL @ DEN,L,241,107,35,79,0.443,11,31,0.355,26,32,0.813,6.0,25.0,31.0,19,7.0,4.0,6.0,25,-10.0
22015,1610612747,LAL,Los Angeles Lakers,0021500896,2016-03-01,LAL vs. BKN,W,239,107,41,83,0.494,11,26,0.423,14,21,0.667,8.0,38.0,46.0,22,5.0,4.0,13.0,22,6.0
22015,1610612747,LAL,Los Angeles Lakers,0021500868,2016-02-26,LAL vs. MEM,L,242,95,32,78,0.41,5,23,0.217,26,39,0.667,11.0,27.0,38.0,14,9.0,3.0,7.0,14,-17.0
22015,1610612747,LAL,Los Angeles Lakers,0021500851,2016-02-24,LAL @ MEM,L,241,119,39,88,0.443,17,39,0.436,24,33,0.727,15.0,30.0,45.0,16,5.0,3.0,7.0,21,-9.0
22015,1610612747,LAL,Los Angeles Lakers,0021500837,2016-02-22,LAL @ MIL,L,240,101,28,76,0.368,12,29,0.414,33,43,0.767,11.0,35.0,46.0,18,7.0,2.0,17.0,24,-7.0
22015,1610612747,LAL,Los Angeles Lakers,0021500831,2016-02-21,LAL @ CHI,L,240,115,43,93,0.462,7,21,0.333,22,33,0.667,17.0,27.0,44.0,13,5.0,4.0,7.0,20,-11.0
22015,1610612747,LAL,Los Angeles Lakers,0021500818,2016-02-19,LAL vs. SAS,L,240,113,40,81,0.494,10,22,0.455,23,26,0.885,12.0,24.0,36.0,20,5.0,4.0,15.0,17,-6.0
22015,1610612747,LAL,Los Angeles Lakers,0021500795,2016-02-10,LAL @ CLE,L,241,111,38,86,0.442,13,28,0.464,22,27,0.815,11.0,33.0,44.0,16,5.0,3.0,11.0,19,-9.0
22015,1610612747,LAL,Los Angeles Lakers,0021500776,2016-02-08,LAL @ IND,L,239,87,29,93,0.312,8,35,0.229,21,26,0.808,14.0,37.0,51.0,13,10.0,2.0,12.0,24,-2.0
22015,1610612747,LAL,Los Angeles Lakers,0021500767,2016-02-06,LAL @ SAS,L,240,102,34,86,0.395,10,30,0.333,24,27,0.889,13.0,33.0,46.0,19,5.0,3.0,8.0,22,-4.0
22015,1610612747,LAL,Los Angeles Lakers,0021500747,2016-02-04,LAL @ NOP,W,241,99,39,81,0.481,7,20,0.35,14,20,0.7,9.0,39.0,48.0,14,4.0,0.0,16.0,22,3.0
22015,1610612747,LAL,Los Angeles Lakers,0021500734,2016-02-02,LAL vs. MIN,W,239,119,40,80,0.5,12,26,0.462,27,35,0.771,7.0,24.0,31.0,23,9.0,2.0,9.0,24,4.0
22015,1610612747,LAL,Los Angeles Lakers,0021500720,2016-01-31,LAL vs. CHA,L,240,82,27,80,0.338,8,29,0.276,20,23,0.87,4.0,38.0,42.0,13,6.0,8.0,15.0,20,-19.0
22015,1610612747,LAL,Los Angeles Lakers,0021500706,2016-01-29,LAL @ LAC,L,240,93,34,78,0.436,5,13,0.385,20,25,0.8,11.0,37.0,48.0,19,6.0,4.0,17.0,21,-12.0
22015,1610612747,LAL,Los Angeles Lakers,0021500697,2016-01-28,LAL vs. CHI,L,242,91,32,85,0.376,9,25,0.36,18,23,0.783,11.0,30.0,41.0,21,6.0,4.0,14.0,17,-23.0
22015,1610612747,LAL,Los Angeles Lakers,0021500683,2016-01-26,LAL vs. DAL,L,242,90,30,74,0.405,7,25,0.28,23,28,0.821,8.0,39.0,47.0,15,4.0,7.0,12.0,25,-2.0
22015,1610612747,LAL,Los Angeles Lakers,0021500662,2016-01-23,LAL @ POR,L,241,103,34,69,0.493,7,17,0.412,28,32,0.875,4.0,26.0,30.0,14,4.0,6.0,18.0,20,-18.0
22015,1610612747,LAL,Los Angeles Lakers,0021500653,2016-01-22,LAL vs. SAS,L,239,95,38,84,0.452,6,16,0.375,13,18,0.722,12.0,33.0,45.0,19,3.0,5.0,11.0,12,-13.0
22015,1610612747,LAL,Los Angeles Lakers,0021500638,2016-01-20,LAL vs. SAC,L,240,93,32,90,0.356,4,25,0.16,25,31,0.806,12.0,29.0,41.0,17,6.0,5.0,9.0,22,-19.0
22015,1610612747,LAL,Los Angeles Lakers,0021500614,2016-01-17,LAL vs. HOU,L,239,95,37,82,0.451,6,19,0.316,15,19,0.789,3.0,33.0,36.0,25,8.0,7.0,14.0,16,-17.0
