SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612748,MIA,Miami Heat,0041500217,2016-05-15,MIA @ TOR,L,239,89,32,72,0.444,7,25,0.28,18,23,0.783,7,23,30,16,6,7,13,29,-27.0
42015,1610612748,MIA,Miami Heat,0041500216,2016-05-13,MIA vs. TOR,W,240,103,40,84,0.476,7,21,0.333,16,20,0.8,7,34,41,15,2,6,7,18,12.0
42015,1610612748,MIA,Miami Heat,0041500215,2016-05-11,MIA @ TOR,L,239,91,31,77,0.403,6,21,0.286,23,28,0.821,13,31,44,12,4,2,13,22,-8.0
42015,1610612748,MIA,Miami Heat,0041500214,2016-05-09,MIA vs. TOR,W,266,94,36,80,0.45,1,15,0.067,21,25,0.84,6,33,39,15,9,5,11,15,7.0
42015,1610612748,MIA,Miami Heat,0041500213,2016-05-07,MIA vs. TOR,L,239,91,33,77,0.429,4,18,0.222,21,24,0.875,8,30,38,11,8,2,9,24,-4.0
42015,1610612748,MIA,Miami Heat,0041500212,2016-05-05,MIA @ TOR,L,265,92,39,79,0.494,5,14,0.357,9,13,0.692,9,36,45,14,6,7,21,21,-4.0
42015,1610612748,MIA,Miami Heat,0041500211,2016-05-03,MIA @ TOR,W,265,102,40,89,0.449,8,11,0.727,14,21,0.667,11,41,52,12,12,4,17,17,6.0
42015,1610612748,MIA,Miami Heat,0041500127,2016-05-01,MIA vs. CHA,W,240,106,43,89,0.483,9,24,0.375,11,16,0.688,10,48,58,24,2,8,9,16,33.0
42015,1610612748,MIA,Miami Heat,0041500126,2016-04-29,MIA @ CHA,W,241,97,38,83,0.458,8,16,0.5,13,15,0.867,11,35,46,14,4,10,12,24,7.0
42015,1610612748,MIA,Miami Heat,0041500125,2016-04-27,MIA vs. CHA,L,239,88,34,81,0.42,5,18,0.278,15,19,0.789,6,44,50,17,7,6,14,16,-2.0
42015,1610612748,MIA,Miami Heat,0041500124,2016-04-25,MIA @ CHA,L,242,85,30,76,0.395,11,29,0.379,14,21,0.667,10,36,46,20,2,8,17,26,-4.0
42015,1610612748,MIA,Miami Heat,0041500123,2016-04-23,MIA @ CHA,L,242,80,27,79,0.342,7,22,0.318,19,30,0.633,12,41,53,13,1,8,14,20,-16.0
