SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22015,1610612749,MIL,Milwaukee Bucks,0021501225,2016-04-13,MIL vs. IND,L,240,92,37,87,0.425,7,23,0.304,11,13,0.846,7.0,36.0,43.0,23,8,3,15,15,-5.0
22015,1610612749,MIL,Milwaukee Bucks,0021501204,2016-04-11,MIL @ ORL,L,241,98,41,78,0.526,3,15,0.2,13,19,0.684,13.0,32.0,45.0,18,6,7,23,20,-9.0
22015,1610612749,MIL,Milwaukee Bucks,0021501197,2016-04-10,MIL @ PHI,W,265,109,40,87,0.46,7,23,0.304,22,24,0.917,8.0,45.0,53.0,26,10,8,19,19,1.0
22015,1610612749,MIL,Milwaukee Bucks,0021501181,2016-04-08,MIL @ BOS,L,240,109,41,84,0.488,7,17,0.412,20,29,0.69,7.0,31.0,38.0,30,10,5,19,27,-15.0
22015,1610612749,MIL,Milwaukee Bucks,0021501159,2016-04-05,MIL vs. CLE,L,242,80,35,88,0.398,4,16,0.25,6,12,0.5,12.0,29.0,41.0,20,7,1,10,14,-29.0
22015,1610612749,MIL,Milwaukee Bucks,0021501150,2016-04-03,MIL vs. CHI,L,240,98,40,85,0.471,2,7,0.286,16,20,0.8,15.0,29.0,44.0,28,6,7,14,17,-4.0
22015,1610612749,MIL,Milwaukee Bucks,0021501133,2016-04-01,MIL vs. ORL,W,240,113,47,86,0.547,4,17,0.235,15,25,0.6,9.0,31.0,40.0,31,14,6,16,15,3.0
22015,1610612749,MIL,Milwaukee Bucks,0021501115,2016-03-30,MIL vs. PHX,W,240,105,37,77,0.481,6,15,0.4,25,34,0.735,9.0,29.0,38.0,21,13,9,13,23,11.0
22015,1610612749,MIL,Milwaukee Bucks,0021501089,2016-03-26,MIL vs. CHA,L,239,91,37,84,0.44,4,15,0.267,13,15,0.867,9.0,28.0,37.0,26,6,3,9,16,-24.0
22015,1610612749,MIL,Milwaukee Bucks,0021501076,2016-03-25,MIL @ ATL,L,240,90,35,84,0.417,3,13,0.231,17,26,0.654,16.0,33.0,49.0,16,4,9,15,16,-11.0
