SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612760,OKC,Oklahoma City Thunder,0041500317,2016-05-30,OKC @ GSW,L,240,88,34,89,0.382,7,27,0.259,13,17,0.765,14,33,47,20,3,5,7,11,-8.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500316,2016-05-28,OKC vs. GSW,L,241,101,38,90,0.422,3,23,0.13,22,32,0.688,16,33,49,16,9,10,15,22,-7.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500315,2016-05-26,OKC @ GSW,L,240,111,39,91,0.429,13,30,0.433,20,24,0.833,13,32,45,23,8,2,17,26,-9.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500314,2016-05-24,OKC vs. GSW,W,241,118,39,90,0.433,9,26,0.346,31,40,0.775,16,40,56,23,16,8,17,22,24.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500313,2016-05-22,OKC vs. GSW,W,240,133,46,92,0.5,8,25,0.32,33,37,0.892,11,41,52,21,6,8,12,23,28.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500312,2016-05-18,OKC @ GSW,L,239,91,35,78,0.449,7,23,0.304,14,19,0.737,7,29,36,22,9,4,15,22,-27.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500311,2016-05-16,OKC @ GSW,W,242,108,39,89,0.438,8,17,0.471,22,32,0.688,10,42,52,22,12,6,11,15,6.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500236,2016-05-12,OKC vs. SAS,W,238,113,40,85,0.471,6,22,0.273,27,31,0.871,14,36,50,21,7,7,10,18,14.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500235,2016-05-10,OKC @ SAS,W,240,95,34,78,0.436,7,20,0.35,20,26,0.769,15,39,54,18,6,6,20,22,4.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500234,2016-05-08,OKC vs. SAS,W,239,111,40,79,0.506,9,23,0.391,22,29,0.759,10,30,40,23,6,3,12,18,14.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500233,2016-05-06,OKC vs. SAS,L,241,96,34,82,0.415,10,30,0.333,18,20,0.9,11,31,42,14,5,5,14,23,-4.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500232,2016-05-02,OKC @ SAS,W,239,98,38,79,0.481,5,19,0.263,17,21,0.81,9,39,48,16,8,8,18,19,1.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500231,2016-04-30,OKC @ SAS,L,240,92,35,85,0.412,6,23,0.261,16,21,0.762,11,27,38,23,6,2,10,13,-32.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500165,2016-04-25,OKC vs. DAL,W,238,118,41,81,0.506,10,30,0.333,26,32,0.813,14,28,42,19,6,5,8,22,14.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500164,2016-04-23,OKC @ DAL,W,240,119,44,83,0.53,7,16,0.438,24,34,0.706,12,30,42,26,6,3,9,19,11.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500163,2016-04-21,OKC @ DAL,W,240,131,45,78,0.577,15,27,0.556,26,35,0.743,9,33,42,28,10,5,14,27,29.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500162,2016-04-18,OKC vs. DAL,L,239,84,31,92,0.337,7,32,0.219,15,18,0.833,19,35,54,11,9,4,15,19,-1.0
42015,1610612760,OKC,Oklahoma City Thunder,0041500161,2016-04-16,OKC vs. DAL,W,243,108,36,80,0.45,12,35,0.343,24,28,0.857,14,42,56,23,7,6,18,25,38.0
22015,1610612760,OKC,Oklahoma City Thunder,0021501215,2016-04-12,OKC @ SAS,L,265,98,35,87,0.402,6,25,0.24,22,25,0.88,18,37,55,18,7,5,21,23,-4.0
