SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22015,1610612753,ORL,Orlando Magic,0021501219,2016-04-13,ORL @ CHA,L,240,103,42,91,0.462,8,27,0.296,11,18,0.611,5,34,39,22,7,4,10,18,-14.0
22015,1610612753,ORL,Orlando Magic,0021501204,2016-04-11,ORL vs. MIL,W,240,107,41,84,0.488,7,23,0.304,18,28,0.643,12,24,36,28,19,10,10,15,9.0
22015,1610612753,ORL,Orlando Magic,0021501200,2016-04-10,ORL @ MIA,L,242,96,37,83,0.446,7,18,0.389,15,19,0.789,6,29,35,18,6,1,16,18,-22.0
22015,1610612753,ORL,Orlando Magic,0021501179,2016-04-08,ORL vs. MIA,W,240,112,43,82,0.524,5,11,0.455,21,28,0.75,6,31,37,23,4,9,10,19,3.0
22015,1610612753,ORL,Orlando Magic,0021501166,2016-04-06,ORL vs. DET,L,239,104,43,90,0.478,4,15,0.267,14,19,0.737,12,36,48,25,7,8,14,23,-4.0
22015,1610612753,ORL,Orlando Magic,0021501148,2016-04-03,ORL vs. MEM,W,240,119,43,90,0.478,10,26,0.385,23,29,0.793,13,30,43,27,10,3,10,21,12.0
22015,1610612753,ORL,Orlando Magic,0021501133,2016-04-01,ORL @ MIL,L,242,110,46,86,0.535,8,24,0.333,10,12,0.833,4,33,37,34,13,8,20,22,-3.0
22015,1610612753,ORL,Orlando Magic,0021501123,2016-03-31,ORL @ IND,W,239,114,48,90,0.533,5,16,0.313,13,18,0.722,13,31,44,26,6,6,13,18,20.0
22015,1610612753,ORL,Orlando Magic,0021501108,2016-03-29,ORL vs. BKN,W,240,139,56,91,0.615,14,27,0.519,13,19,0.684,5,30,35,40,11,5,10,29,34.0
22015,1610612753,ORL,Orlando Magic,0021501083,2016-03-26,ORL vs. CHI,W,240,111,48,89,0.539,7,19,0.368,8,12,0.667,12,38,50,32,5,7,13,21,22.0
22015,1610612753,ORL,Orlando Magic,0021501075,2016-03-25,ORL @ MIA,L,240,97,36,84,0.429,6,18,0.333,19,28,0.679,14,28,42,20,7,1,14,24,-11.0
22015,1610612753,ORL,Orlando Magic,0021501058,2016-03-23,ORL @ DET,L,240,102,39,98,0.398,8,25,0.32,16,19,0.842,17,27,44,24,9,3,6,19,-16.0
22015,1610612753,ORL,Orlando Magic,0021501046,2016-03-21,ORL @ BOS,L,240,96,39,93,0.419,5,19,0.263,13,19,0.684,14,31,45,15,9,7,11,20,-11.0
22015,1610612753,ORL,Orlando Magic,0021501038,2016-03-20,ORL @ TOR,L,240,100,40,83,0.482,8,22,0.364,12,18,0.667,7,33,40,20,4,8,12,30,-5.0
22015,1610612753,ORL,Orlando Magic,0021501020,2016-03-18,ORL vs. CLE,L,238,103,37,82,0.451,11,22,0.5,18,22,0.818,9,27,36,24,12,4,13,24,-6.0
22015,1610612753,ORL,Orlando Magic,0021501004,2016-03-16,ORL @ CHA,L,239,99,35,83,0.422,11,25,0.44,18,21,0.857,2,38,40,23,4,9,8,20,-8.0
22015,1610612753,ORL,Orlando Magic,0021500998,2016-03-15,ORL vs. DEN,W,239,116,44,81,0.543,8,25,0.32,20,25,0.8,6,29,35,28,7,4,13,20,6.0
22015,1610612753,ORL,Orlando Magic,0021500982,2016-03-12,ORL @ POR,L,240,84,34,91,0.374,7,26,0.269,9,18,0.5,11,28,39,19,6,4,15,16,-37.0
22015,1610612753,ORL,Orlando Magic,0021500970,2016-03-11,ORL @ SAC,W,240,107,41,79,0.519,4,15,0.267,21,34,0.618,12,39,51,22,11,8,19,23,7.0
22015,1610612753,ORL,Orlando Magic,0021500949,2016-03-08,ORL @ LAL,L,241,98,37,76,0.487,5,19,0.263,19,27,0.704,4,31,35,19,5,4,10,24,-9.0
22015,1610612753,ORL,Orlando Magic,0021500943,2016-03-07,ORL @ GSW,L,241,113,40,90,0.444,5,21,0.238,28,34,0.824,9,33,42,24,14,3,15,21,-6.0
22015,1610612753,ORL,Orlando Magic,0021500913,2016-03-04,ORL vs. PHX,L,242,84,35,101,0.347,7,27,0.259,7,14,0.5,15,35,50,20,12,3,14,31,-18.0
22015,1610612753,ORL,Orlando Magic,0021500897,2016-03-02,ORL vs. CHI,W,241,102,39,97,0.402,7,21,0.333,17,22,0.773,8,51,59,25,5,6,10,14,13.0
22015,1610612753,ORL,Orlando Magic,0021500894,2016-03-01,ORL @ DAL,L,240,108,41,91,0.451,9,30,0.3,17,20,0.85,18,27,45,29,11,4,16,29,-13.0
22015,1610612753,ORL,Orlando Magic,0021500881,2016-02-28,ORL vs. PHI,W,240,130,49,86,0.57,10,16,0.625,22,25,0.88,6,27,33,28,9,6,12,27,14.0
22015,1610612753,ORL,Orlando Magic,0021500863,2016-02-26,ORL @ NYK,L,239,95,39,93,0.419,6,27,0.222,11,16,0.688,15,32,47,24,6,1,12,24,-13.0
22015,1610612753,ORL,Orlando Magic,0021500855,2016-02-25,ORL vs. GSW,L,241,114,41,90,0.456,10,26,0.385,22,28,0.786,8,29,37,23,11,4,15,17,-16.0
22015,1610612753,ORL,Orlando Magic,0021500840,2016-02-23,ORL @ PHI,W,241,124,41,85,0.482,7,14,0.5,35,41,0.854,13,30,43,26,11,2,11,22,9.0
22015,1610612753,ORL,Orlando Magic,0021500828,2016-02-21,ORL vs. IND,L,240,102,38,91,0.418,7,25,0.28,19,29,0.655,11,34,45,27,12,3,14,23,-3.0
22015,1610612753,ORL,Orlando Magic,0021500805,2016-02-19,ORL vs. DAL,W,265,110,41,102,0.402,13,35,0.371,15,17,0.882,14,49,63,25,10,4,12,20,6.0
22015,1610612753,ORL,Orlando Magic,0021500790,2016-02-10,ORL vs. SAS,L,241,96,37,91,0.407,8,20,0.4,14,16,0.875,13,37,50,26,7,7,15,18,-2.0
22015,1610612753,ORL,Orlando Magic,0021500780,2016-02-08,ORL @ ATL,W,262,117,46,93,0.495,9,29,0.31,16,22,0.727,6,41,47,37,11,8,13,22,7.0
22015,1610612753,ORL,Orlando Magic,0021500771,2016-02-07,ORL vs. ATL,W,240,96,39,85,0.459,7,25,0.28,11,12,0.917,8,35,43,24,9,10,18,13,2.0
22015,1610612753,ORL,Orlando Magic,0021500752,2016-02-05,ORL vs. LAC,L,239,93,34,81,0.42,4,20,0.2,21,28,0.75,11,28,39,19,6,1,18,20,-14.0
22015,1610612753,ORL,Orlando Magic,0021500740,2016-02-03,ORL @ OKC,L,240,114,47,95,0.495,10,23,0.435,10,12,0.833,12,27,39,25,3,5,9,18,-3.0
22015,1610612753,ORL,Orlando Magic,0021500726,2016-02-01,ORL @ SAS,L,241,92,39,96,0.406,5,17,0.294,9,11,0.818,19,32,51,19,9,6,16,19,-15.0
22015,1610612753,ORL,Orlando Magic,0021500716,2016-01-31,ORL vs. BOS,W,241,119,44,82,0.537,10,24,0.417,21,35,0.6,12,38,50,27,7,6,15,24,5.0
22015,1610612753,ORL,Orlando Magic,0021500698,2016-01-29,ORL @ BOS,L,240,94,32,79,0.405,7,20,0.35,23,29,0.793,9,32,41,17,9,4,16,18,-19.0
22015,1610612753,ORL,Orlando Magic,0021500681,2016-01-26,ORL @ MIL,L,239,100,33,80,0.413,13,24,0.542,21,29,0.724,12,27,39,22,6,4,11,22,-7.0
22015,1610612753,ORL,Orlando Magic,0021500670,2016-01-25,ORL @ MEM,L,263,102,40,86,0.465,10,28,0.357,12,14,0.857,8,38,46,24,2,6,19,22,-6.0
22015,1610612753,ORL,Orlando Magic,0021500645,2016-01-22,ORL vs. CHA,L,265,116,45,91,0.495,11,23,0.478,15,19,0.789,7,41,48,31,6,9,19,25,-4.0
22015,1610612753,ORL,Orlando Magic,0021500629,2016-01-20,ORL vs. PHI,L,239,87,33,84,0.393,4,17,0.235,17,26,0.654,13,34,47,19,12,3,14,14,-9.0
22015,1610612753,ORL,Orlando Magic,0021500620,2016-01-18,ORL @ ATL,L,242,81,30,87,0.345,6,22,0.273,15,20,0.75,11,31,42,21,11,5,13,13,-17.0
22015,1610612753,ORL,Orlando Magic,0021500588,2016-01-14,ORL vs. TOR,L,265,103,44,97,0.454,9,23,0.391,6,8,0.75,6,40,46,28,4,9,15,22,-3.0
22015,1610612753,ORL,Orlando Magic,0021500552,2016-01-09,ORL vs. WAS,L,241,99,38,74,0.514,5,14,0.357,18,24,0.75,11,26,37,22,9,2,15,12,-6.0
22015,1610612753,ORL,Orlando Magic,0021500541,2016-01-08,ORL @ BKN,W,240,83,33,83,0.398,13,28,0.464,4,6,0.667,13,36,49,25,7,4,14,22,6.0
22015,1610612753,ORL,Orlando Magic,0021500526,2016-01-06,ORL vs. IND,L,240,86,32,79,0.405,6,31,0.194,16,17,0.941,9,30,39,17,7,6,17,21,-9.0
22015,1610612753,ORL,Orlando Magic,0021500514,2016-01-04,ORL @ DET,L,240,89,36,81,0.444,6,20,0.3,11,11,1.0,5,25,30,17,6,7,8,16,-26.0
22015,1610612753,ORL,Orlando Magic,0021500499,2016-01-02,ORL @ CLE,L,240,79,29,76,0.382,6,25,0.24,15,17,0.882,5,40,45,16,1,2,14,29,-25.0
22015,1610612753,ORL,Orlando Magic,0021500490,2016-01-01,ORL @ WAS,L,240,91,40,85,0.471,5,20,0.25,6,8,0.75,7,32,39,29,6,4,15,13,-12.0
22015,1610612753,ORL,Orlando Magic,0021500475,2015-12-30,ORL vs. BKN,W,239,100,36,82,0.439,9,26,0.346,19,21,0.905,17,33,50,21,6,4,16,18,7.0
22015,1610612753,ORL,Orlando Magic,0021500460,2015-12-28,ORL vs. NOP,W,241,104,45,82,0.549,7,17,0.412,7,11,0.636,4,33,37,28,7,1,9,14,15.0
22015,1610612753,ORL,Orlando Magic,0021500444,2015-12-26,ORL vs. MIA,L,239,101,43,79,0.544,9,19,0.474,6,13,0.462,9,25,34,31,7,2,9,18,-7.0
22015,1610612753,ORL,Orlando Magic,0021500426,2015-12-23,ORL vs. HOU,W,239,104,44,84,0.524,7,16,0.438,9,13,0.692,11,31,42,26,5,3,12,15,3.0
22015,1610612753,ORL,Orlando Magic,0021500412,2015-12-21,ORL @ NYK,W,241,107,44,86,0.512,10,22,0.455,9,11,0.818,8,25,33,19,8,3,9,17,8.0
22015,1610612753,ORL,Orlando Magic,0021500407,2015-12-20,ORL vs. ATL,L,241,100,38,81,0.469,4,12,0.333,20,24,0.833,8,28,36,27,16,5,13,22,-3.0
22015,1610612753,ORL,Orlando Magic,0021500387,2015-12-18,ORL vs. POR,W,240,102,39,84,0.464,2,15,0.133,22,31,0.71,13,35,48,19,11,5,13,18,8.0
22015,1610612753,ORL,Orlando Magic,0021500372,2015-12-16,ORL vs. CHA,W,240,113,43,77,0.558,14,24,0.583,13,15,0.867,4,36,40,28,12,4,17,15,15.0
22015,1610612753,ORL,Orlando Magic,0021500358,2015-12-14,ORL @ BKN,W,240,105,41,76,0.539,9,21,0.429,14,20,0.7,7,36,43,24,12,3,16,18,23.0
22015,1610612753,ORL,Orlando Magic,0021500334,2015-12-11,ORL vs. CLE,L,240,76,28,72,0.389,6,22,0.273,14,20,0.7,6,24,30,16,8,3,19,24,-35.0
22015,1610612753,ORL,Orlando Magic,0021500326,2015-12-09,ORL @ PHX,L,241,104,40,85,0.471,12,25,0.48,12,16,0.75,5,27,32,28,11,1,16,26,-3.0
22015,1610612753,ORL,Orlando Magic,0021500317,2015-12-08,ORL @ DEN,W,240,85,38,88,0.432,1,16,0.063,8,10,0.8,10,44,54,14,9,8,20,19,11.0
22015,1610612753,ORL,Orlando Magic,0021500298,2015-12-05,ORL @ LAC,L,240,101,40,90,0.444,6,20,0.3,15,18,0.833,15,36,51,22,8,6,13,21,-2.0
22015,1610612753,ORL,Orlando Magic,0021500279,2015-12-03,ORL @ UTA,W,240,103,40,89,0.449,8,23,0.348,15,15,1.0,9,31,40,19,13,4,10,20,9.0
22015,1610612753,ORL,Orlando Magic,0021500265,2015-12-01,ORL @ MIN,W,240,96,38,86,0.442,5,17,0.294,15,20,0.75,11,33,44,19,7,5,13,30,3.0
22015,1610612753,ORL,Orlando Magic,0021500249,2015-11-29,ORL vs. BOS,W,238,110,45,93,0.484,9,25,0.36,11,16,0.688,17,37,54,24,6,7,13,20,19.0
22015,1610612753,ORL,Orlando Magic,0021500228,2015-11-27,ORL vs. MIL,W,240,114,43,82,0.524,12,27,0.444,16,22,0.727,8,33,41,30,9,5,18,18,24.0
22015,1610612753,ORL,Orlando Magic,0021500216,2015-11-25,ORL vs. NYK,W,240,100,34,86,0.395,5,16,0.313,27,32,0.844,15,33,48,20,2,7,7,21,9.0
22015,1610612753,ORL,Orlando Magic,0021500203,2015-11-23,ORL @ CLE,L,240,103,40,81,0.494,10,22,0.455,13,21,0.619,9,30,39,25,6,6,10,21,-14.0
22015,1610612753,ORL,Orlando Magic,0021500189,2015-11-21,ORL vs. SAC,L,241,91,38,92,0.413,9,31,0.29,6,8,0.75,15,35,50,27,8,7,17,26,-6.0
22015,1610612753,ORL,Orlando Magic,0021500166,2015-11-18,ORL vs. MIN,W,265,104,41,110,0.373,9,21,0.429,13,21,0.619,20,34,54,20,10,4,9,21,3.0
22015,1610612753,ORL,Orlando Magic,0021500139,2015-11-14,ORL @ WAS,L,240,99,38,87,0.437,4,18,0.222,19,24,0.792,6,39,45,19,7,2,12,22,-9.0
22015,1610612753,ORL,Orlando Magic,0021500128,2015-11-13,ORL vs. UTA,W,240,102,32,76,0.421,10,27,0.37,28,31,0.903,10,35,45,20,11,11,20,20,9.0
22015,1610612753,ORL,Orlando Magic,0021500114,2015-11-11,ORL vs. LAL,W,241,101,40,100,0.4,13,28,0.464,8,12,0.667,23,31,54,22,7,4,8,19,2.0
22015,1610612753,ORL,Orlando Magic,0021500099,2015-11-09,ORL @ IND,L,240,84,31,78,0.397,10,33,0.303,12,17,0.706,7,37,44,16,9,3,21,20,-13.0
22015,1610612753,ORL,Orlando Magic,0021500087,2015-11-07,ORL @ PHI,W,240,105,39,83,0.47,6,13,0.462,21,24,0.875,10,31,41,24,10,7,13,23,10.0
22015,1610612753,ORL,Orlando Magic,0021500075,2015-11-06,ORL vs. TOR,W,240,92,33,77,0.429,9,25,0.36,17,22,0.773,6,34,40,22,4,4,12,25,5.0
22015,1610612753,ORL,Orlando Magic,0021500064,2015-11-04,ORL @ HOU,L,265,114,46,91,0.505,7,20,0.35,15,19,0.789,9,29,38,28,12,6,14,25,-5.0
