SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22015,1610612755,PHI,Philadelphia 76ers,0021501222,2016-04-13,PHI @ CHI,L,241,105,37,81,0.457,17,35,0.486,14,18,0.778,4,27,31,28,10.0,7,13,24,-10.0
22015,1610612755,PHI,Philadelphia 76ers,0021501214,2016-04-12,PHI @ TOR,L,240,98,35,77,0.455,15,35,0.429,13,25,0.52,7,25,32,24,8.0,6,13,18,-24.0
22015,1610612755,PHI,Philadelphia 76ers,0021501197,2016-04-10,PHI vs. MIL,L,264,108,39,96,0.406,13,46,0.283,17,25,0.68,13,32,45,24,12.0,6,13,19,-1.0
22015,1610612755,PHI,Philadelphia 76ers,0021501180,2016-04-08,PHI vs. NYK,L,240,102,32,91,0.352,14,37,0.378,24,36,0.667,15,31,46,25,7.0,5,9,20,-7.0
22015,1610612755,PHI,Philadelphia 76ers,0021501154,2016-04-05,PHI vs. NOP,W,242,107,40,88,0.455,13,34,0.382,14,17,0.824,11,30,41,31,10.0,6,8,15,14.0
22015,1610612755,PHI,Philadelphia 76ers,0021501138,2016-04-02,PHI vs. IND,L,240,102,34,83,0.41,16,37,0.432,18,26,0.692,8,30,38,23,3.0,1,16,22,-13.0
22015,1610612755,PHI,Philadelphia 76ers,0021501128,2016-04-01,PHI @ CHA,L,241,91,33,90,0.367,10,39,0.256,15,21,0.714,9,39,48,24,5.0,7,9,20,-9.0
22015,1610612755,PHI,Philadelphia 76ers,0021501109,2016-03-29,PHI vs. CHA,L,240,85,30,96,0.313,16,44,0.364,9,10,0.9,9,36,45,20,8.0,5,10,18,-15.0
22015,1610612755,PHI,Philadelphia 76ers,0021501094,2016-03-27,PHI @ GSW,L,241,105,42,90,0.467,10,30,0.333,11,12,0.917,9,28,37,27,10.0,3,12,20,-12.0
22015,1610612755,PHI,Philadelphia 76ers,0021501091,2016-03-26,PHI @ POR,L,241,105,39,93,0.419,10,38,0.263,17,24,0.708,10,43,53,21,5.0,6,13,22,-3.0
