SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612757,POR,Portland Trail Blazers,0041500225,2016-05-11,POR @ GSW,L,241,121,38,92,0.413,16,36,0.444,29,39,0.744,13.0,34.0,47.0,20,9,4,10,23,-4.0
42015,1610612757,POR,Portland Trail Blazers,0041500224,2016-05-09,POR vs. GSW,L,265,125,43,106,0.406,15,39,0.385,24,33,0.727,18.0,34.0,52.0,22,8,3,18,29,-7.0
42015,1610612757,POR,Portland Trail Blazers,0041500223,2016-05-07,POR vs. GSW,W,241,120,40,86,0.465,17,30,0.567,23,29,0.793,11.0,30.0,41.0,19,5,4,10,19,12.0
42015,1610612757,POR,Portland Trail Blazers,0041500222,2016-05-03,POR @ GSW,L,239,99,36,81,0.444,13,30,0.433,14,21,0.667,6.0,33.0,39.0,22,5,5,17,25,-11.0
42015,1610612757,POR,Portland Trail Blazers,0041500221,2016-05-01,POR @ GSW,L,238,106,39,97,0.402,10,31,0.323,18,21,0.857,10.0,30.0,40.0,26,7,6,9,19,-12.0
42015,1610612757,POR,Portland Trail Blazers,0041500176,2016-04-29,POR vs. LAC,W,240,106,38,86,0.442,14,32,0.438,16,24,0.667,18.0,28.0,46.0,21,4,2,12,23,3.0
42015,1610612757,POR,Portland Trail Blazers,0041500175,2016-04-27,POR @ LAC,W,242,108,37,83,0.446,12,34,0.353,22,34,0.647,9.0,44.0,53.0,22,8,4,9,23,10.0
42015,1610612757,POR,Portland Trail Blazers,0041500174,2016-04-25,POR vs. LAC,W,239,98,36,88,0.409,13,31,0.419,13,15,0.867,16.0,42.0,58.0,27,5,7,15,25,14.0
42015,1610612757,POR,Portland Trail Blazers,0041500173,2016-04-23,POR vs. LAC,W,240,96,37,87,0.425,6,25,0.24,16,23,0.696,16.0,40.0,56.0,15,5,3,16,24,8.0
42015,1610612757,POR,Portland Trail Blazers,0041500172,2016-04-20,POR @ LAC,L,240,81,31,91,0.341,5,26,0.192,14,16,0.875,15.0,37.0,52.0,20,6,3,10,20,-21.0
42015,1610612757,POR,Portland Trail Blazers,0041500171,2016-04-17,POR @ LAC,L,240,95,33,83,0.398,10,30,0.333,19,26,0.731,10.0,30.0,40.0,23,6,2,12,28,-20.0
22015,1610612757,POR,Portland Trail Blazers,0021501230,2016-04-13,POR vs. DEN,W,241,107,39,89,0.438,11,36,0.306,18,22,0.818,13.0,32.0,45.0,19,11,8,15,19,8.0
22015,1610612757,POR,Portland Trail Blazers,0021501192,2016-04-09,POR vs. MIN,L,240,105,40,80,0.5,9,24,0.375,16,18,0.889,11.0,26.0,37.0,19,2,4,17,20,-1.0
22015,1610612757,POR,Portland Trail Blazers,0021501171,2016-04-06,POR vs. OKC,W,239,120,43,84,0.512,15,33,0.455,19,24,0.792,9.0,30.0,39.0,32,11,6,15,23,5.0
22015,1610612757,POR,Portland Trail Blazers,0021501162,2016-04-05,POR @ SAC,W,239,115,40,93,0.43,12,31,0.387,23,27,0.852,19.0,30.0,49.0,20,12,7,14,19,8.0
