SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22015,1610612758,SAC,Sacramento Kings,0021501224,2016-04-13,SAC @ HOU,L,238,81,32,96,0.333,11,37.0,0.297,6,13,0.462,15.0,34.0,49.0,21,11,4,17,17,-35.0
22015,1610612758,SAC,Sacramento Kings,0021501211,2016-04-11,SAC @ PHX,W,240,105,41,83,0.494,6,17.0,0.353,17,28,0.607,4.0,36.0,40.0,25,11,12,18,19,4.0
22015,1610612758,SAC,Sacramento Kings,0021501193,2016-04-09,SAC vs. OKC,W,240,114,45,94,0.479,13,32.0,0.406,11,20,0.55,16.0,24.0,40.0,22,12,4,11,23,2.0
22015,1610612758,SAC,Sacramento Kings,0021501176,2016-04-07,SAC vs. MIN,L,240,97,36,85,0.424,6,17.0,0.353,19,21,0.905,17.0,30.0,47.0,19,11,5,19,23,-8.0
22015,1610612758,SAC,Sacramento Kings,0021501162,2016-04-05,SAC vs. POR,L,240,107,41,78,0.526,11,22.0,0.5,14,21,0.667,3.0,31.0,34.0,20,6,7,19,19,-8.0
22015,1610612758,SAC,Sacramento Kings,0021501141,2016-04-02,SAC @ DEN,W,241,115,41,88,0.466,8,21.0,0.381,25,31,0.806,11.0,37.0,48.0,27,4,5,7,20,9.0
22015,1610612758,SAC,Sacramento Kings,0021501135,2016-04-01,SAC vs. MIA,L,241,106,38,87,0.437,7,21.0,0.333,23,29,0.793,16.0,25.0,41.0,20,7,5,13,16,-6.0
22015,1610612758,SAC,Sacramento Kings,0021501120,2016-03-30,SAC vs. WAS,W,240,120,47,84,0.56,8,18.0,0.444,18,25,0.72,6.0,34.0,40.0,27,13,6,16,15,9.0
22015,1610612758,SAC,Sacramento Kings,0021501105,2016-03-28,SAC @ POR,L,240,93,37,89,0.416,7,15.0,0.467,12,19,0.632,11.0,32.0,43.0,20,11,2,14,20,-12.0
22015,1610612758,SAC,Sacramento Kings,0021501095,2016-03-27,SAC vs. DAL,W,240,133,51,82,0.622,9,20.0,0.45,22,30,0.733,6.0,35.0,41.0,32,11,3,11,18,22.0
22015,1610612758,SAC,Sacramento Kings,0021501079,2016-03-25,SAC vs. PHX,W,240,116,40,90,0.444,7,22.0,0.318,29,39,0.744,12.0,40.0,52.0,28,10,7,12,22,22.0
22015,1610612758,SAC,Sacramento Kings,0021501062,2016-03-23,SAC @ MIN,L,240,104,42,91,0.462,8,20.0,0.4,12,23,0.522,14.0,26.0,40.0,23,6,4,17,25,-9.0
22015,1610612758,SAC,Sacramento Kings,0021501049,2016-03-21,SAC @ CHI,L,240,102,40,88,0.455,9,29.0,0.31,13,16,0.813,14.0,36.0,50.0,23,6,2,19,19,-7.0
22015,1610612758,SAC,Sacramento Kings,0021501042,2016-03-20,SAC @ NYK,W,240,88,35,88,0.398,7,25.0,0.28,11,14,0.786,12.0,37.0,49.0,20,11,3,11,15,8.0
22015,1610612758,SAC,Sacramento Kings,0021501022,2016-03-18,SAC @ DET,L,241,108,40,79,0.506,4,15.0,0.267,24,29,0.828,7.0,28.0,35.0,21,8,4,11,20,-7.0
22015,1610612758,SAC,Sacramento Kings,0021501010,2016-03-16,SAC vs. NOP,L,241,108,42,90,0.467,9,18.0,0.5,15,17,0.882,8.0,31.0,39.0,23,7,2,11,18,-15.0
22015,1610612758,SAC,Sacramento Kings,0021501002,2016-03-15,SAC @ LAL,W,240,106,38,79,0.481,4,18.0,0.222,26,33,0.788,5.0,36.0,41.0,26,17,8,16,17,8.0
22015,1610612758,SAC,Sacramento Kings,0021500986,2016-03-13,SAC vs. UTA,L,241,99,38,81,0.469,9,21.0,0.429,14,21,0.667,8.0,28.0,36.0,25,8,5,10,20,-9.0
22015,1610612758,SAC,Sacramento Kings,0021500970,2016-03-11,SAC vs. ORL,L,239,100,35,88,0.398,8,25.0,0.32,22,25,0.88,12.0,25.0,37.0,23,9,4,17,22,-7.0
22015,1610612758,SAC,Sacramento Kings,0021500957,2016-03-09,SAC vs. CLE,L,240,111,40,84,0.476,8,22.0,0.364,23,32,0.719,5.0,33.0,38.0,20,8,2,9,27,-9.0
22015,1610612758,SAC,Sacramento Kings,0021500941,2016-03-07,SAC @ NOP,L,241,112,41,83,0.494,7,25.0,0.28,23,27,0.852,6.0,38.0,44.0,27,12,1,22,25,-3.0
22015,1610612758,SAC,Sacramento Kings,0021500928,2016-03-05,SAC @ SAS,L,241,94,37,81,0.457,6,16.0,0.375,14,21,0.667,7.0,26.0,33.0,21,13,4,19,19,-10.0
22015,1610612758,SAC,Sacramento Kings,0021500910,2016-03-03,SAC @ DAL,W,239,104,42,80,0.525,7,25.0,0.28,13,24,0.542,9.0,34.0,43.0,23,8,4,13,14,3.0
22015,1610612758,SAC,Sacramento Kings,0021500902,2016-03-02,SAC @ MEM,L,241,98,39,82,0.476,9,26.0,0.346,11,20,0.55,16.0,28.0,44.0,31,7,3,24,29,-6.0
22015,1610612758,SAC,Sacramento Kings,0021500889,2016-02-29,SAC vs. OKC,L,240,116,48,107,0.449,7,25.0,0.28,13,19,0.684,22.0,24.0,46.0,28,11,0,10,16,-15.0
22015,1610612758,SAC,Sacramento Kings,0021500867,2016-02-26,SAC vs. LAC,L,240,107,34,78,0.436,12,24.0,0.5,27,37,0.73,13.0,31.0,44.0,19,6,3,16,23,-10.0
22015,1610612758,SAC,Sacramento Kings,0021500854,2016-02-24,SAC vs. SAS,L,241,92,39,96,0.406,6,18.0,0.333,8,15,0.533,10.0,34.0,44.0,27,13,1,14,14,-16.0
