SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
42015,1610612759,SAS,San Antonio Spurs,0041500236,2016-05-12,SAS @ OKC,L,241,99,40,93,0.43,6,17.0,0.353,13,16,0.813,10.0,30.0,40.0,19,7.0,3.0,10.0,21.0,-14.0
42015,1610612759,SAS,San Antonio Spurs,0041500235,2016-05-10,SAS vs. OKC,L,239,91,35,88,0.398,8,18.0,0.444,13,17,0.765,10.0,26.0,36.0,19,11.0,6.0,7.0,19.0,-4.0
42015,1610612759,SAS,San Antonio Spurs,0041500234,2016-05-08,SAS @ OKC,L,241,97,40,85,0.471,2,12.0,0.167,15,16,0.938,9.0,25.0,34.0,12,11.0,2.0,12.0,21.0,-14.0
42015,1610612759,SAS,San Antonio Spurs,0041500233,2016-05-06,SAS @ OKC,W,239,100,33,76,0.434,10,19.0,0.526,24,34,0.706,4.0,33.0,37.0,19,8.0,6.0,8.0,19.0,4.0
42015,1610612759,SAS,San Antonio Spurs,0041500232,2016-05-02,SAS vs. OKC,L,240,97,40,94,0.426,6,23.0,0.261,11,13,0.846,9.0,28.0,37.0,19,10.0,6.0,10.0,16.0,-1.0
42015,1610612759,SAS,San Antonio Spurs,0041500231,2016-04-30,SAS vs. OKC,W,240,124,51,84,0.607,9,15.0,0.6,13,18,0.722,5.0,38.0,43.0,39,5.0,10.0,8.0,16.0,32.0
42015,1610612759,SAS,San Antonio Spurs,0041500154,2016-04-24,SAS @ MEM,W,240,116,40,81,0.494,10,22.0,0.455,26,31,0.839,13.0,28.0,41.0,21,8.0,6.0,10.0,21.0,21.0
42015,1610612759,SAS,San Antonio Spurs,0041500153,2016-04-22,SAS @ MEM,W,240,96,35,77,0.455,12,26.0,0.462,14,19,0.737,7.0,32.0,39.0,24,10.0,12.0,9.0,20.0,9.0
42015,1610612759,SAS,San Antonio Spurs,0041500152,2016-04-19,SAS vs. MEM,W,241,94,31,66,0.47,9,17.0,0.529,23,28,0.821,3.0,41.0,44.0,19,8.0,10.0,17.0,18.0,26.0
42015,1610612759,SAS,San Antonio Spurs,0041500151,2016-04-17,SAS vs. MEM,W,242,106,42,81,0.519,10,22.0,0.455,12,13,0.923,9.0,35.0,44.0,22,13.0,9.0,12.0,11.0,32.0
22015,1610612759,SAS,San Antonio Spurs,0021501223,2016-04-13,SAS @ DAL,W,240,96,35,74,0.473,6,23.0,0.261,20,26,0.769,8.0,34.0,42.0,24,8.0,3.0,14.0,19.0,5.0
22015,1610612759,SAS,San Antonio Spurs,0021501215,2016-04-12,SAS vs. OKC,W,264,102,37,87,0.425,4,14.0,0.286,24,32,0.75,11.0,31.0,42.0,15,12.0,8.0,11.0,22.0,4.0
22015,1610612759,SAS,San Antonio Spurs,0021501201,2016-04-10,SAS vs. GSW,L,239,86,34,90,0.378,3,17.0,0.176,15,19,0.789,18.0,35.0,53.0,21,10.0,5.0,11.0,18.0,-6.0
22015,1610612759,SAS,San Antonio Spurs,0021501186,2016-04-08,SAS @ DEN,L,240,98,36,85,0.424,3,14.0,0.214,23,28,0.821,8.0,37.0,45.0,20,6.0,8.0,10.0,12.0,-4.0
22015,1610612759,SAS,San Antonio Spurs,0021501177,2016-04-07,SAS @ GSW,L,241,101,39,80,0.488,7,16.0,0.438,16,23,0.696,5.0,27.0,32.0,28,10.0,2.0,12.0,11.0,-11.0
22015,1610612759,SAS,San Antonio Spurs,0021501161,2016-04-05,SAS @ UTA,W,240,88,32,72,0.444,7,17.0,0.412,17,19,0.895,4.0,28.0,32.0,16,10.0,4.0,8.0,16.0,2.0
22015,1610612759,SAS,San Antonio Spurs,0021501140,2016-04-02,SAS vs. TOR,W,239,102,35,77,0.455,5,20.0,0.25,27,30,0.9,15.0,32.0,47.0,28,11.0,5.0,14.0,14.0,7.0
22015,1610612759,SAS,San Antonio Spurs,0021501118,2016-03-30,SAS vs. NOP,W,241,100,36,75,0.48,12,24.0,0.5,16,22,0.727,6.0,32.0,38.0,23,10.0,8.0,12.0,18.0,8.0
22015,1610612759,SAS,San Antonio Spurs,0021501100,2016-03-28,SAS @ MEM,W,239,101,37,72,0.514,5,15.0,0.333,22,30,0.733,10.0,33.0,43.0,23,9.0,7.0,14.0,21.0,14.0
22015,1610612759,SAS,San Antonio Spurs,0021501088,2016-03-26,SAS @ OKC,L,239,92,37,86,0.43,4,15.0,0.267,14,17,0.824,13.0,21.0,34.0,14,8.0,3.0,12.0,17.0,-19.0
22015,1610612759,SAS,San Antonio Spurs,0021501078,2016-03-25,SAS vs. MEM,W,240,110,44,77,0.571,7,18.0,0.389,15,18,0.833,8.0,29.0,37.0,25,7.0,5.0,14.0,12.0,6.0
22015,1610612759,SAS,San Antonio Spurs,0021501063,2016-03-23,SAS vs. MIA,W,239,112,42,81,0.519,8,14.0,0.571,20,24,0.833,10.0,34.0,44.0,26,7.0,4.0,10.0,12.0,24.0
22015,1610612759,SAS,San Antonio Spurs,0021501043,2016-03-21,SAS @ CHA,L,241,88,37,86,0.43,4,17.0,0.235,10,13,0.769,9.0,38.0,47.0,23,9.0,12.0,16.0,17.0,-3.0
22015,1610612759,SAS,San Antonio Spurs,0021501036,2016-03-19,SAS vs. GSW,W,240,87,32,78,0.41,8,21.0,0.381,15,18,0.833,14.0,39.0,53.0,17,4.0,6.0,17.0,19.0,8.0
22015,1610612759,SAS,San Antonio Spurs,0021501018,2016-03-17,SAS vs. POR,W,239,118,45,86,0.523,8,16.0,0.5,20,22,0.909,4.0,33.0,37.0,35,8.0,11.0,7.0,24.0,8.0
22015,1610612759,SAS,San Antonio Spurs,0021501001,2016-03-15,SAS vs. LAC,W,238,108,44,82,0.537,8,20.0,0.4,12,16,0.75,12.0,30.0,42.0,25,6.0,4.0,10.0,21.0,21.0
